,date,geocode,cities
0,2020/02/25,3550308,São Paulo/SP
1,2020/03/05,3300407,Barra Mansa/RJ
2,2020/03/06,2910800,Feira de Santana/BA
3,2020/03/06,3304557,Rio de Janeiro/RJ
4,2020/03/07,5300108,Brasília/DF
5,2020/03/07,3547304,Santana de Parnaíba/SP
6,2020/03/08,3122306,Divinópolis/MG
7,2020/03/08,2704302,Maceió/AL
8,2020/03/10,4303905,Campo Bom/RS
9,2020/03/11,4314902,Porto Alegre/RS
10,2020/03/12,4305108,Caxias do Sul/RS
11,2020/03/12,4105508,Cianorte/PR
12,2020/03/12,4106902,Curitiba/PR
13,2020/03/12,3515707,Ferraz de Vasconcelos/SP
14,2020/03/12,4205407,Florianópolis/SC
15,2020/03/12,5208707,Goiânia/GO
16,2020/03/12,3131307,Ipatinga/MG
17,2020/03/12,2408102,Natal/RN
18,2020/03/12,3303302,Niterói/RJ
19,2020/03/12,2611606,Recife/PE
20,2020/03/12,5218805,Rio Verde/GO
21,2020/03/13,4209102,Joinville/SC
22,2020/03/13,1302603,Manaus/AM
23,2020/03/13,2927408,Salvador/BA
24,2020/03/14,2800308,Aracaju/SE
25,2020/03/14,5002704,Campo Grande/MS
26,2020/03/14,3136702,Juiz de Fora/MG
27,2020/03/14,3148103,Patrocínio/MG
28,2020/03/14,4214300,Rancho Queimado/SC
29,2020/03/15,4202800,Braço do Norte/SC
30,2020/03/16,5201108,Anápolis/GO
31,2020/03/16,2301000,Aquiraz/CE
32,2020/03/16,3106200,Belo Horizonte/MG
33,2020/03/16,2304400,Fortaleza/CE
34,2020/03/16,3529401,Mauá/SP
35,2020/03/16,2925303,Porto Seguro/BA
36,2020/03/16,3547809,Santo André/SP
37,2020/03/16,3548708,São Bernardo do Campo/SP
38,2020/03/16,3548807,São Caetano do Sul/SP
39,2020/03/17,2601706,Belo Jardim/PE
40,2020/03/17,4104204,Campo Largo/PR
41,2020/03/17,3119401,Coronel Fabriciano/MG
42,2020/03/17,3518800,Guarulhos/SP
43,2020/03/17,2607901,Jaboatão dos Guararapes/PE
44,2020/03/17,4113700,Londrina/PR
45,2020/03/17,3144805,Nova Lima/MG
46,2020/03/17,2925501,Prado/BA
47,2020/03/17,1200401,Rio Branco/AC
48,2020/03/17,3167202,Sete Lagoas/MG
49,2020/03/17,3170206,Uberlândia/MG
50,2020/03/18,5201405,Aparecida de Goiânia/GO
51,2020/03/18,4202008,Balneário Camboriú/SC
52,2020/03/18,3505708,Barueri/SP
53,2020/03/18,1501402,Belém/PA
54,2020/03/18,3509502,Campinas/SP
55,2020/03/18,3513009,Cotia/SP
56,2020/03/18,4108304,Foz do Iguaçu/PR
57,2020/03/18,3301850,Guapimirim/RJ
58,2020/03/18,3524709,Jaguariúna/SP
59,2020/03/18,5211909,Jataí/GO
60,2020/03/18,2507507,João Pessoa/PB
61,2020/03/18,4115200,Maringá/PR
62,2020/03/18,3534401,Osasco/SP
63,2020/03/18,1721000,Palmas/TO
64,2020/03/18,2805703,Propriá/SE
65,2020/03/18,4319901,Sapiranga/RS
66,2020/03/18,2312908,Sobral/CE
67,2020/03/18,3549805,São José do Rio Preto/SP
68,2020/03/18,3549904,São José dos Campos/SP
69,2020/03/18,4218707,Tubarão/SC
70,2020/03/19,4300604,Alvorada/RS
71,2020/03/19,4301602,Bagé/RS
72,2020/03/19,4307005,Erechim/RS
73,2020/03/19,4307906,Farroupilha/RS
74,2020/03/19,2914802,Itabuna/BA
75,2020/03/19,3203205,Linhares/ES
76,2020/03/19,3302908,Miguel Pereira/RJ
77,2020/03/19,5007901,Sidrolândia/MS
78,2020/03/19,3552502,Suzano/SP
79,2020/03/19,4216602,São José/SC
80,2020/03/19,4321204,Taquara/RS
81,2020/03/19,3554102,Taubaté/SP
82,2020/03/19,2211001,Teresina/PI
83,2020/03/19,3556453,Vargem Grande Paulista/SP
84,2020/03/19,3205200,Vila Velha/ES
85,2020/03/19,3205309,Vitória/ES
86,2020/03/20,4302105,Bento Gonçalves/RS
87,2020/03/20,3201209,Cachoeiro de Itapemirim/ES
88,2020/03/20,2905701,Camaçari/BA
89,2020/03/20,3201308,Cariacica/ES
90,2020/03/20,4204202,Chapecó/SC
91,2020/03/20,4204608,Criciúma/SC
92,2020/03/20,5103403,Cuiabá/MT
93,2020/03/20,2304459,Fortim/CE
94,2020/03/20,4108809,Guaíra/PR
95,2020/03/20,3519071,Hortolândia/SP
96,2020/03/20,4207304,Imbituba/SC
97,2020/03/20,4310801,Ivoti/RS
98,2020/03/20,4208906,Jaraguá do Sul/SC
99,2020/03/20,1100122,Ji-Paraná/RO
100,2020/03/20,2307304,Juazeiro do Norte/CE
101,2020/03/20,1600303,Macapá/AP
102,2020/03/20,3140001,Mariana/MG
103,2020/03/20,3530607,Mogi das Cruzes/SP
104,2020/03/20,4211306,Navegantes/SC
105,2020/03/20,2403251,Parnamirim/RN
106,2020/03/20,4213203,Pomerode/SC
107,2020/03/20,3151800,Poços de Caldas/MG
108,2020/03/20,4317103,Sant'Ana do Livramento/RS
109,2020/03/20,2111300,São Luís/MA
110,2020/03/20,3170107,Uberaba/MG
111,2020/03/21,1400100,Boa Vista/RR
112,2020/03/21,4304606,Canoas/RS
113,2020/03/21,4304804,Carlos Barbosa/RS
114,2020/03/21,4305355,Charqueadas/RS
115,2020/03/21,4306403,Dois Irmãos/RS
116,2020/03/21,4306767,Eldorado do Sul/RS
117,2020/03/21,4307807,Estrela/RS
118,2020/03/21,4206207,Gravatal/SC
119,2020/03/21,4208203,Itajaí/SC
120,2020/03/21,4208807,Jaguaruna/SC
121,2020/03/21,4311403,Lajeado/RS
122,2020/03/21,2408003,Mossoró/RN
123,2020/03/21,2804508,Nossa Senhora da Glória/SE
124,2020/03/21,4118501,Pato Branco/PR
125,2020/03/21,3303906,Petrópolis/RJ
126,2020/03/21,4119905,Ponta Grossa/PR
127,2020/03/21,5006606,Ponta Porã/MS
128,2020/03/21,1100205,Porto Velho/RO
129,2020/03/21,4320404,Serafina Corrêa/RS
130,2020/03/21,4318705,São Leopoldo/RS
131,2020/03/21,4321501,Torres/RS
132,2020/03/21,4128104,Umuarama/PR
133,2020/03/22,2903201,Barreiras/BA
134,2020/03/22,4202404,Blumenau/SC
135,2020/03/22,5205109,Catalão/GO
136,2020/03/22,2908507,Conceição do Jacuípe/BA
137,2020/03/22,4307609,Estância Velha/RS
138,2020/03/22,4209300,Lages/SC
139,2020/03/22,1303403,Parintins/AM
140,2020/03/22,4316907,Santa Maria/RS
141,2020/03/22,4317608,Santo Antônio da Patrulha/RS
142,2020/03/23,3106705,Betim/MG
143,2020/03/23,3107406,Bom Despacho/MG
144,2020/03/23,2904605,Brumado/BA
145,2020/03/23,3111507,Campos Altos/MG
146,2020/03/23,4304630,Capão da Canoa/RS
147,2020/03/23,2604106,Caruaru/PE
148,2020/03/23,4104808,Cascavel/PR
149,2020/03/23,3118601,Contagem/MG
150,2020/03/23,4306205,Cruzeiro do Sul/RS
151,2020/03/23,4205902,Gaspar/SC
152,2020/03/23,2502607,Igaracy/PB
153,2020/03/23,2918001,Jequié/BA
154,2020/03/23,2918407,Juazeiro/BA
155,2020/03/23,3137205,Lagoa da Prata/MG
156,2020/03/23,1504208,Marabá/PA
157,2020/03/23,4313508,Osório/RS
158,2020/03/23,2611101,Petrolina/PE
159,2020/03/23,4213500,Porto Belo/SC
160,2020/03/23,4315602,Rio Grande/RS
161,2020/03/23,3204609,Santa Teresa/ES
162,2020/03/23,4317400,Santiago/RS
163,2020/03/23,3205002,Serra/ES
164,2020/03/23,3304904,São Gonçalo/RJ
165,2020/03/23,3168705,Timóteo/MG
166,2020/03/23,4323002,Viamão/RS
167,2020/03/23,5108402,Várzea Grande/MT
168,2020/03/24,4300703,Anta Gorda/RS
169,2020/03/24,1400159,Bonfim/RR
170,2020/03/24,4303509,Camaquã/RS
171,2020/03/24,3301009,Campos dos Goytacazes/RJ
172,2020/03/24,2908606,Conde/BA
173,2020/03/24,3301702,Duque de Caxias/RJ
174,2020/03/24,4308607,Garibaldi/RS
175,2020/03/24,4209409,Laguna/SC
176,2020/03/24,2308104,Mauriti/CE
177,2020/03/24,5108956,Nova Monte Verde/MT
178,2020/03/24,4118402,Paranavaí/PR
