city_number,city_code,metric
3662,3550308,4088675.773648232
2191,3106200,1166375.3090295512
5173,5208707,758092.94737534
5321,5300108,696868.6105252418
4701,4314902,641310.4217644277
3099,3304557,560624.5414171705
861,2304400,485246.08737522986
3831,4106902,471494.91123990406
3228,3509502,459466.93021933426
1069,2408102,395421.6307243424
2047,2927408,366339.0482671873
794,2211001,304569.0110765427
1485,2611606,298930.01233496406
1843,2910800,291950.8132553449
3592,3543402,283985.0707218084
112,1501402,283745.7790144833
1193,2504009,267190.63081007043
550,2111300,259925.4817680471
77,1302603,251789.2044991227
1585,2704302,244486.40654929532
1237,2507507,239727.32162678073
1642,2800308,238190.62042739976
5097,5201108,233904.73422416995
3656,3549805,230513.4995382859
4203,4205407,223127.7617014905
3942,4115200,208026.17218889078
2432,3127701,173679.24564038788
3807,4104808,163767.04097946876
4474,4304705,160911.84793953854
365,1721000,157685.96907931313
2537,3136702,157653.29462886797
2931,3170206,155243.19067715012
4885,5002704,152969.95387848414
4982,5103403,152290.7855318994
3925,4113700,138517.61646632847
738,2208007,135213.26846743978
4772,4318705,130965.82178544623
3570,3541406,129364.60718373868
1751,2903201,126730.97569150814
3035,3205309,114236.28677686774
2930,3170107,113898.01309901173
1275,2510808,113814.81750465855
3657,3549904,108074.83612552645
1068,2408003,107299.93232427748
4004,4119905,106882.02000237981
2123,2933307,106276.79481791749
1541,2700300,100572.43491995399
294,1709500,99781.57683964696
4739,4316907,99480.86975225259
3856,4108304,98229.69366684582
248,1702109,97828.0816109192
2912,3168606,93754.76811003847
128,1502400,88276.13847989886
459,2105302,85843.64753029525
3646,3548708,84837.7800648428
4184,4204202,84385.96715335676
16,1100205,84306.6729360498
2474,3131307,83863.07242571529
4613,4311403,81523.86844119085
1402,2604106,80384.8547838751
4583,4310207,75633.26863761334
229,1600303,75002.55577497277
4680,4314100,73745.44684309089
193,1506807,71088.33686182096
3541,3538709,67144.562199874
1946,2919553,66461.08815342047
390,2101202,66038.38325237752
662,2203909,66011.20267135293
1423,2606002,65743.5300042832
59,1200401,64398.81214366109
5201,5211503,63775.277741685604
1,1100023,63146.42762830935
4323,4214805,60775.930808129575
4670,4313706,60570.94092797216
2616,3143302,60387.45964012749
1889,2914802,59940.67485172015
4532,4307005,59816.054592970875
3406,3525904,59236.841877419334
5057,5107602,58956.7700691982
3799,4104303,58898.63751164115
5068,5107909,58755.488352922905
969,2312908,58198.17308325547
4251,4209300,58105.39893395902
326,1716109,57781.938429349735
4557,4308508,56820.50237650446
3497,3534401,56818.19704804572
3704,3554102,56373.814339173485
5166,5208004,56245.95267824102
2186,3105608,55873.339658038036
11,1100122,54637.86516805098
86,1400100,54561.64489862225
1694,2805703,54465.617708014994
1925,2918001,54308.098098585746
4748,4317509,53489.47493381802
2724,3152105,50649.24148620029
4357,4217204,50277.0529636547
4186,4204301,49951.89021622846
2163,3103504,49385.18307281717
1082,2409407,49145.73571213959
509,2108454,49050.03637353612
2528,3136207,48472.14961757447
4961,5101803,47952.74799517089
1189,2503704,47314.111989360004
4386,4219507,47114.741325298804
3437,3529005,45770.819561898454
4247,4209102,45648.20437766854
1008,2402006,45585.815206702384
4481,4305108,45473.494695898335
901,2307304,45368.23070402373
5274,5218805,45186.06906440919
3154,3502804,45016.18783461846
4686,4314407,44244.928809148514
4793,4320107,43688.17215957442
3858,4108403,43476.76046702046
3188,3506003,43406.518862440505
1346,2516201,43340.63933216006
1479,2611101,43314.068496464075
2623,3143906,43158.73922743521
3952,4115804,42437.14606190933
4114,4128104,42397.315856801426
422,2103000,42019.96418666828
5137,5205109,41731.18080768568
4266,4210506,41123.2654867108
2777,3157005,41093.59391613091
2730,3152501,41067.65104709602
1491,2612208,40565.55221309253
627,2202208,40266.21464123155
4148,4202008,40069.62834836182
4509,4306106,39666.91734386803
3301,3516200,39500.33774731676
3681,3552205,39056.59980263241
4388,4219705,39039.99685362696
2335,3119401,38694.51582301781
3051,3301009,38673.960995524016
5265,5218003,37785.01496072533
4191,4204608,37701.08089128468
4543,4307807,37616.059340434535
4106,4127700,36643.959217864474
14,1100155,36387.346367578146
2948,3171303,35628.645747542665
4562,4308904,35599.29825369058
3168,3504008,35502.85278718503
4246,4209003,35129.42528230704
4807,4320800,34736.051120038974
2485,3132404,34700.75461854617
2019,2925105,34687.00822912309
274,1705508,34403.762929677054
3500,3534708,34382.392872655975
3396,3524808,34192.28353964607
730,2207702,34190.04648852456
4897,5003702,33782.01960060995
529,2109908,33650.28862713573
1968,2921302,33490.01337028754
3141,3501608,33131.88580448066
721,2207009,33129.24847952564
4175,4203600,33038.97818320962
293,1709302,32979.43414585417
394,2101400,32819.30884621645
4738,4316808,32359.358989008673
4237,4208203,31771.52448532599
3871,4109401,31646.538928095648
2324,3118304,31384.207387723607
4744,4317202,31383.715815611686
4374,4218707,31046.132068033497
3644,3548500,30884.383170312492
1511,2613909,29531.602912501403
1225,2506301,29447.149957838526
2927,3169901,29441.618311455873
3988,4118501,29395.194691509165
5205,5211909,29346.828377369777
487,2106755,29304.64731004737
152,1504208,29141.87508416783
2571,3139409,29009.55950721083
2079,2929909,28811.39173345093
