,cities,geocode
0,Manaus/AM,1302603
1,Parintins/AM,1303403
2,Santo Antônio do Içá/AM,1303700
3,Manacapuru/AM,1302504
4,Anori/AM,1300102
5,Itacoatiara/AM,1301902
6,Novo Airão/AM,1303205
7,Careiro da Várzea/AM,1301159
8,Tonantins/AM,1304237
9,Iranduba/AM,1301852
10,Jutaí/AM,1302306
11,São Gabriel da Cachoeira/AM,1303809
12,São Paulo de Olivença/AM,1303908
13,Manicoré/AM,1302702
14,Tabatinga/AM,1304062
15,Maués/AM,1302900
16,Tefé/AM,1304203
17,Anamã/AM,1300086
18,Lábrea/AM,1302405
19,Carauari/AM,1301001
20,Coari/AM,1301209
21,Santa Isabel do Rio Negro/AM,1303601
22,Canutama/AM,1300904
23,Juruá/AM,1302207
24,Autazes/AM,1300300
25,Beruri/AM,1300631
26,Barcelos/AM,1300409
27,Benjamin Constant/AM,1300607
28,Maraã/AM,1302801
29,Nova Olinda do Norte/AM,1303106
30,Manaquiri/AM,1302553
31,Nhamundá/AM,1303007
32,Amaturá/AM,1300060
33,Caapiranga/AM,1300839
34,Codajás/AM,1301308
35,Fonte Boa/AM,1301605
36,Novo Aripuanã/AM,1303304
37,Tapauá/AM,1304104
38,São Sebastião do Uatumã/AM,1303957
39,Urucará/AM,1304302
40,Humaitá/AM,1301704
41,Itapiranga/AM,1302009
42,Urucurituba/AM,1304401
43,Borba/AM,1300805
44,Barreirinha/AM,1300508
45,Boa Vista do Ramos/AM,1300680
46,Alvarães/AM,1300029
47,Japurá/AM,1302108
48,Uarini/AM,1304260
49,Ipixuna/AM,1301803
