,cities,geocode
0,São Paulo/SP,3550308
1,Barra Mansa/RJ,3300407
2,Feira de Santana/BA,2910800
3,Rio de Janeiro/RJ,3304557
4,Brasília/DF,5300108
5,Santana de Parnaíba/SP,3547304
6,Divinópolis/MG,3122306
7,Maceió/AL,2704302
8,Campo Bom/RS,4303905
9,Porto Alegre/RS,4314902
10,Caxias do Sul/RS,4305108
11,Cianorte/PR,4105508
12,Curitiba/PR,4106902
13,Ferraz de Vasconcelos/SP,3515707
14,Florianópolis/SC,4205407
15,Goiânia/GO,5208707
16,Ipatinga/MG,3131307
17,Natal/RN,2408102
18,Niterói/RJ,3303302
19,Recife/PE,2611606
20,Rio Verde/GO,5218805
21,Joinville/SC,4209102
22,Manaus/AM,1302603
23,Salvador/BA,2927408
24,Aracaju/SE,2800308
25,Campo Grande/MS,5002704
26,Juiz de Fora/MG,3136702
27,Patrocínio/MG,3148103
28,Rancho Queimado/SC,4214300
29,Braço do Norte/SC,4202800
30,Anápolis/GO,5201108
31,Aquiraz/CE,2301000
32,Belo Horizonte/MG,3106200
33,Fortaleza/CE,2304400
34,Mauá/SP,3529401
35,Porto Seguro/BA,2925303
36,Santo André/SP,3547809
37,São Bernardo do Campo/SP,3548708
38,São Caetano do Sul/SP,3548807
39,Belo Jardim/PE,2601706
40,Campo Largo/PR,4104204
41,Coronel Fabriciano/MG,3119401
42,Guarulhos/SP,3518800
43,Jaboatão dos Guararapes/PE,2607901
44,Londrina/PR,4113700
45,Nova Lima/MG,3144805
46,Prado/BA,2925501
47,Rio Branco/AC,1200401
48,Sete Lagoas/MG,3167202
49,Uberlândia/MG,3170206
50,Aparecida de Goiânia/GO,5201405
51,Balneário Camboriú/SC,4202008
52,Barueri/SP,3505708
53,Belém/PA,1501402
54,Campinas/SP,3509502
55,Cotia/SP,3513009
56,Foz do Iguaçu/PR,4108304
57,Guapimirim/RJ,3301850
58,Jaguariúna/SP,3524709
59,Jataí/GO,5211909
60,João Pessoa/PB,2507507
61,Maringá/PR,4115200
