,cities,geocode
0,São Paulo/SP,3550308
1,Feira de Santana/BA,2910800
2,Rio de Janeiro/RJ,3304557
3,Brasília/DF,5300108
4,Maceió/AL,2704302
5,Porto Alegre/RS,4314902
6,Caxias do Sul/RS,4305108
7,Curitiba/PR,4106902
8,Florianópolis/SC,4205407
9,Goiânia/GO,5208707
10,Natal/RN,2408102
11,Recife/PE,2611606
12,Rio Verde/GO,5218805
13,Joinville/SC,4209102
14,Manaus/AM,1302603
15,Salvador/BA,2927408
16,Aracaju/SE,2800308
17,Juiz de Fora/MG,3136702
18,Belo Horizonte/MG,3106200
19,Fortaleza/CE,2304400
20,Porto Seguro/BA,2925303
21,Londrina/PR,4113700
22,Rio Branco/AC,1200401
23,Uberlândia/MG,3170206
24,Belém/PA,1501402
25,Foz do Iguaçu/PR,4108304
26,João Pessoa/PB,2507507
27,Maringá/PR,4115200
28,Palmas/TO,1721000
29,Propriá/SE,2805703
30,São José do Rio Preto/SP,3549805
31,São José dos Campos/SP,3549904
32,Teresina/PI,2211001
33,Chapecó/SC,4204202
34,Cuiabá/MT,5103403
35,Ji-Paraná/RO,1100122
36,Juazeiro do Norte/CE,2307304
37,Macapá/AP,1600303
38,São Luís/MA,2111300
39,Uberaba/MG,3170107
40,Boa Vista/RR,1400100
41,Itajaí/SC,4208203
42,Jaguaruna/SC,4208807
43,Mossoró/RN,2408003
44,Ponta Grossa/PR,4119905
45,Porto Velho/RO,1100205
46,Barreiras/BA,2903201
47,Lages/SC,4209300
48,Parintins/AM,1303403
49,Marabá/PA,1504208
50,Petrolina/PE,2611101
51,Rio Grande/RS,4315602
52,Serra/ES,3205002
53,Laguna/SC,4209409
54,Teixeira de Freitas/BA,2931350
55,Ilhéus/BA,2913606
56,Porto Real do Colégio/AL,2707503
57,Itaituba/PA,1503606
58,Passo Fundo/RS,4314100
59,Ribeirão Preto/SP,3543402
60,Santo Antônio do Içá/AM,1303700
61,Araguaína/TO,1702109
62,Campina Grande/PB,2504009
63,Fernando de Noronha/PE,2605459
64,Guarapuava/PR,4109401
65,Manacapuru/AM,1302504
66,Dourados/MS,5003702
67,Mangaratiba/RJ,3302601
68,Parauapebas/PA,1505536
69,Parnaíba/PI,2207702
70,Anori/AM,1300102
71,Itacoatiara/AM,1301902
72,Angra dos Reis/RJ,3300100
73,Novo Airão/AM,1303205
74,Patos/PB,2510808
75,Rondonópolis/MT,5107602
76,Abaetetuba/PA,1500107
77,Bauru/SP,3506003
78,Careiro da Várzea/AM,1301159
79,Macaé/RJ,3302403
80,Tucuruí/PA,1508100
81,Barcarena/PA,1501303
82,Caldas Novas/GO,5204508
83,Imperatriz/MA,2105302
84,Santarém/PA,1506807
85,Três Lagoas/MS,5008305
86,Vitória da Conquista/BA,2933307
87,Paranaguá/PR,4118204
