,covid_cases_geocode
0,1302603
1,1303403
2,1303700
3,1302504
4,1300102
5,1301902
6,1303205
7,1301159
8,1304237
9,1301852
10,1302306
11,1303809
12,1303908
13,1302702
14,1304062
15,1302900
16,1304203
17,1300086
18,1302405
19,1301001
20,1301209
21,1303601
22,1300904
23,1302207
24,1300300
25,1300631
26,1300409
27,1300607
28,1302801
29,1303106
30,1302553
31,1303007
32,1300060
33,1300839
34,1301308
35,1301605
36,1303304
37,1304104
38,1303957
39,1304302
40,1301704
41,1302009
42,1304401
43,1300805
44,1300508
45,1300680
46,1300029
47,1302108
48,1304260
49,1301803
