,covid_cases_geocode
0,3550308
1,2910800
2,3304557
3,5300108
4,2704302
5,4314902
6,4305108
7,4106902
8,4205407
9,5208707
10,2408102
11,2611606
12,5218805
13,4209102
14,1302603
15,2927408
16,2800308
17,3136702
18,3106200
19,2304400
20,2925303
21,4113700
22,1200401
23,3170206
24,1501402
25,4108304
26,2507507
27,4115200
28,1721000
29,3549805
30,3549904
31,2211001
32,4204202
33,5103403
34,1100122
35,2307304
36,1600303
37,2111300
38,3170107
39,1400100
40,4208203
41,4208807
42,2408003
43,4119905
44,1100205
45,2903201
46,4209300
47,1303403
48,1504208
49,2611101
50,3205002
51,2931350
52,2913606
53,1503606
54,4314100
55,3543402
56,1702109
57,2504009
58,2605459
59,4109401
60,5003702
61,1505536
62,2207702
63,3300100
64,2510808
65,5107602
66,3506003
67,3302403
68,5204508
69,2105302
70,1506807
71,5008305
72,2933307
73,5107909
74,1500602
75,3170701
76,2301109
77,1100304
78,3143302
79,3300704
80,2303501
81,5003207
82,3541406
83,1304203
84,1200203
85,1302405
86,5101803
87,1505304
88,2924009
89,1501600
90,1100049
91,5107925
92,2701506
93,2307254
94,2908309
95,2919306
