,covid_cases_geocode
0,1302603
1,2927408
2,1501402
3,2805703
4,1600303
5,2111300
6,1100205
7,1303403
8,1504208
9,4315602
10,4209409
11,2707503
12,1503606
13,1303700
14,1302504
15,3302601
16,1300102
17,1301902
18,3300100
19,1303205
20,1500107
21,1301159
22,1508100
23,1501303
24,2105302
25,1506807
26,4118204
27,1304237
28,1500602
29,1505205
30,2111201
31,4208401
32,2401107
33,1301852
34,1600600
35,1502103
36,1302306
37,1303809
38,1303908
39,2105104
40,1302702
41,1304062
42,1302900
43,1304203
44,1500206
45,2933208
46,1200203
47,1300086
48,1302405
49,1508084
50,1600808
51,1505106
52,1502004
53,1502806
54,1503903
55,1600279
56,1504802
57,1504901
58,1301001
59,1500305
60,1301209
61,2100204
62,1303601
63,1300904
64,1302207
65,1506302
66,1506401
67,1300300
68,1501808
69,1505304
70,1300631
71,1507706
72,1300409
73,1300607
74,1302801
75,1303106
76,1500404
77,1500701
78,1302553
79,1303007
80,1300060
81,1300839
82,1301308
83,1301605
84,1504000
85,1303304
86,2706802
87,1505700
88,1505908
89,1304104
90,1508308
91,1500503
92,1303957
93,1304302
94,1501105
95,1301704
96,2916104
97,1302009
98,1504604
99,1304401
100,1300805
101,1504505
102,2706703
103,1501204
104,2105005
105,1506005
106,1300508
107,1507979
108,1300680
109,1502509
110,2924405
111,1507805
112,1300029
113,2102903
114,2404408
115,2926004
116,1505809
117,1502855
118,1503002
119,4109500
120,1507904
121,1508357
122,2802403
123,1503101
124,2806404
125,1302108
126,1200351
127,1710706
128,1200393
129,2109403
130,2930204
131,1304260
132,2800704
133,2933604
134,2709202
135,1501006
136,1301803
137,4318507
138,4314498
139,4207205
