,covid_cases_geocode
0,3550308
1,3300407
2,2910800
3,3304557
4,5300108
5,3547304
6,3122306
7,2704302
8,4303905
9,4314902
10,4305108
11,4105508
12,4106902
13,3515707
14,4205407
15,5208707
16,3131307
17,2408102
18,3303302
19,2611606
20,5218805
21,4209102
22,1302603
23,2927408
24,2800308
25,5002704
26,3136702
27,3148103
28,4214300
29,4202800
30,5201108
31,2301000
32,3106200
33,2304400
34,3529401
35,2925303
36,3547809
37,3548708
38,3548807
39,2601706
40,4104204
41,3119401
42,3518800
43,2607901
44,4113700
45,3144805
46,2925501
47,1200401
48,3167202
49,3170206
50,5201405
51,4202008
52,3505708
53,1501402
54,3509502
55,3513009
56,4108304
57,3301850
58,3524709
59,5211909
60,2507507
61,4115200
62,3534401
63,1721000
64,2805703
65,4319901
66,2312908
67,3549805
68,3549904
69,4218707
70,4300604
71,4301602
72,4307005
73,4307906
74,2914802
75,3203205
76,3302908
77,5007901
78,3552502
79,4216602
80,4321204
81,3554102
82,2211001
83,3556453
84,3205200
85,3205309
86,4302105
87,3201209
88,2905701
89,3201308
90,4204202
91,4204608
92,5103403
93,2304459
94,4108809
95,3519071
96,4207304
97,4310801
98,4208906
99,1100122
100,2307304
101,1600303
102,3140001
103,3530607
104,4211306
105,2403251
106,4213203
107,3151800
108,4317103
109,2111300
110,3170107
111,1400100
112,4304606
113,4304804
114,4305355
115,4306403
116,4306767
117,4307807
118,4206207
119,4208203
120,4208807
121,4311403
122,2408003
123,2804508
124,4118501
125,3303906
126,4119905
127,5006606
128,1100205
129,4320404
130,4318705
131,4321501
132,4128104
133,2903201
134,4202404
135,5205109
136,2908507
137,4307609
138,4209300
139,1303403
140,4316907
141,4317608
142,3106705
143,3107406
144,2904605
145,3111507
146,4304630
147,2604106
148,4104808
149,3118601
150,4306205
151,4205902
152,2502607
153,2918001
154,2918407
155,3137205
156,1504208
157,4313508
158,2611101
159,4213500
160,4315602
161,3204609
162,4317400
163,3205002
164,3304904
165,3168705
166,4323002
167,5108402
168,4300703
169,1400159
170,4303509
171,3301009
172,2908606
173,3301702
174,4308607
175,4209409
176,2308104
177,5108956
178,4118402
179,4314001
180,2931350
181,4127106
182,4218004
183,5221858
184,3306305
185,1500800
186,4203204
187,4104303
188,2906204
189,4203709
190,4305173
191,4306601
192,3515004
193,4107603
194,4309209
195,2913606
196,3521408
197,3525904
198,5212501
199,4314407
200,2707503
201,3539806
202,3304201
203,3543303
204,3543907
205,5220603
206,2928950
207,4217006
208,3550704
209,3552809
210,3306107
211,3556206
212,2900702
213,3503901
214,3107109
215,1300706
216,1502400
217,3201407
218,3127701
219,1503606
220,4208302
221,3527306
222,3528502
223,4311809
224,4313102
225,4314100
226,4314605
227,3543402
228,4316006
229,1303700
230,4217600
231,3162500
232,3554003
233,4218103
234,1702109
235,5002001
236,4303004
237,2603454
238,2504009
239,3111200
240,3114204
241,3513801
242,2606200
243,4109401
244,3128907
245,5209705
246,2913903
247,4110805
248,3301900
249,1302504
250,2307700
251,4122305
252,5007406
253,3156700
254,4317202
255,3552205
256,2516201
257,2210052
258,4216909
259,3204955
260,4128203
261,2400208
262,4202909
263,2402006
264,4304507
265,2303709
266,5003702
267,5208608
268,3202405
269,2915205
270,3202801
271,2407104
272,3302601
273,4115309
274,2407807
275,3303500
276,4212205
277,1505536
278,2207702
279,2409100
280,4120705
281,2311306
282,4216206
283,2412005
284,2412203
285,2613701
286,2411056
287,4219002
288,5200258
289,1200013
290,1300102
291,4104907
292,4106209
293,3125101
294,4207502
295,1301902
296,2306256
297,2915601
298,2917102
299,2307650
300,4114609
301,4115804
302,3143906
303,4313409
304,4118808
305,2925204
306,1200807
307,3304524
308,3157807
309,3305554
310,3166808
311,4125506
312,3204906
313,4127304
314,3300100
315,2401008
316,2302206
317,3507803
318,3509205
319,2910057
320,3522505
321,5211503
322,3524006
323,1100114
324,2407005
325,3139409
326,4115705
327,2922904
328,1303205
329,2610004
330,2510808
331,3536505
332,3537305
333,4212650
334,3538709
335,3540606
336,3304300
337,4122206
338,5107602
339,3548500
340,3550407
341,4321303
342,3305802
343,3170404
344,1500107
345,5000252
346,3101607
347,3200359
348,3501608
349,3502804
350,2902708
351,3506003
352,3508603
353,4303103
354,2906501
355,1301159
356,2907509
357,2908002
358,4108403
359,3516408
360,3518701
361,2607307
362,2915502
363,3522208
364,3523107
365,4113205
366,3526803
367,3302403
368,1504422
369,3529302
370,2921104
371,3530706
372,5006200
373,3533403
374,5216304
375,3538907
376,4120804
377,3545308
378,3546801
379,2312205
380,4318051
381,3549706
382,3305208
383,3551009
384,1508100
385,4128609
386,3205101
387,3556701
388,3557006
389,3557105
390,3200102
391,4300406
392,2600708
393,3200607
394,3103504
395,4101507
396,4101804
397,3300258
398,4102000
399,2100055
400,1501303
401,2903102
402,2503209
403,5204508
404,4103701
405,5204607
406,3112802
407,2402600
408,5205497
409,2304285
410,4107652
411,4108601
412,4109708
413,2105302
414,3520509
415,3522109
416,3138203
417,3526902
418,3152501
419,3541000
420,1506807
421,4319505
422,5107958
423,2313401
424,5221403
425,5008305
426,2933307
427,3500709
428,3503208
429,3104205
430,3504008
431,3105608
432,2903409
433,4202305
434,1400175
435,2801306
436,4106407
437,3514403
438,3516200
439,3516309
440,3202207
441,4309308
442,2305407
443,3302007
444,2306306
445,2306405
446,3523206
447,3523909
448,2306900
449,3525300
450,4209003
451,4113403
452,5105259
453,3302502
454,4114302
455,4117701
456,4118204
457,4212304
458,2927705
459,3158953
460,3160405
461,4320008
462,5107909
463,3205010
464,4318309
465,4125555
466,4127205
467,3169109
468,1304237
469,4321600
470,4322400
471,4323408
472,3500501
473,3500105
474,1500602
475,4201406
476,3300209
477,4101705
478,3504107
479,3300308
480,2401404
481,1501501
482,5203500
483,2602902
484,4104006
485,2202208
486,2302800
487,2402303
488,3201506
489,3513108
490,3124104
