,date,geocode,cities
0,2020/03/13,1302603,Manaus/AM
1,2020/03/22,1303403,Parintins/AM
2,2020/03/26,1303700,Santo Antônio do Içá/AM
3,2020/03/27,1302504,Manacapuru/AM
4,2020/03/29,1300102,Anori/AM
5,2020/03/29,1301902,Itacoatiara/AM
6,2020/03/30,1303205,Novo Airão/AM
7,2020/03/31,1301159,Careiro da Várzea/AM
8,2020/04/02,1304237,Tonantins/AM
9,2020/04/05,1301852,Iranduba/AM
10,2020/04/06,1302306,Jutaí/AM
11,2020/04/06,1303809,São Gabriel da Cachoeira/AM
12,2020/04/07,1303908,São Paulo de Olivença/AM
13,2020/04/08,1302702,Manicoré/AM
14,2020/04/08,1304062,Tabatinga/AM
15,2020/04/10,1302900,Maués/AM
16,2020/04/10,1304203,Tefé/AM
17,2020/04/14,1300086,Anamã/AM
18,2020/04/14,1302405,Lábrea/AM
19,2020/04/16,1301001,Carauari/AM
20,2020/04/17,1301209,Coari/AM
21,2020/04/18,1303601,Santa Isabel do Rio Negro/AM
22,2020/04/19,1300904,Canutama/AM
23,2020/04/19,1302207,Juruá/AM
24,2020/04/20,1300300,Autazes/AM
25,2020/04/21,1300631,Beruri/AM
26,2020/04/22,1300409,Barcelos/AM
27,2020/04/22,1300607,Benjamin Constant/AM
28,2020/04/22,1302801,Maraã/AM
29,2020/04/22,1303106,Nova Olinda do Norte/AM
30,2020/04/23,1302553,Manaquiri/AM
31,2020/04/23,1303007,Nhamundá/AM
32,2020/04/24,1300060,Amaturá/AM
33,2020/04/24,1300839,Caapiranga/AM
34,2020/04/24,1301308,Codajás/AM
35,2020/04/24,1301605,Fonte Boa/AM
36,2020/04/24,1303304,Novo Aripuanã/AM
37,2020/04/24,1304104,Tapauá/AM
38,2020/04/25,1303957,São Sebastião do Uatumã/AM
39,2020/04/25,1304302,Urucará/AM
40,2020/04/26,1301704,Humaitá/AM
41,2020/04/26,1302009,Itapiranga/AM
42,2020/04/26,1304401,Urucurituba/AM
43,2020/04/27,1300805,Borba/AM
44,2020/05/02,1300508,Barreirinha/AM
45,2020/05/03,1300680,Boa Vista do Ramos/AM
46,2020/05/04,1300029,Alvarães/AM
47,2020/05/11,1302108,Japurá/AM
48,2020/05/15,1304260,Uarini/AM
49,2020/05/28,1301803,Ipixuna/AM
