,date,geocode,cities
0,2020/03/13,1302603,Manaus/AM
1,2020/03/22,1303403,Parintins/AM
2,2020/03/26,1300706,Boca do Acre/AM
3,2020/03/27,1302504,Manacapuru/AM
4,2020/03/29,1301902,Itacoatiara/AM
5,2020/03/30,1303205,Novo Airão/AM
6,2020/04/05,1301852,Iranduba/AM
7,2020/04/08,1302702,Manicoré/AM
8,2020/04/08,1303536,Presidente Figueiredo/AM
9,2020/04/10,1304203,Tefé/AM
10,2020/04/11,1301100,Careiro/AM
11,2020/04/14,1302405,Lábrea/AM
12,2020/04/22,1303569,Rio Preto da Eva/AM
13,2020/04/23,1302553,Manaquiri/AM
14,2020/04/24,1303304,Novo Aripuanã/AM
15,2020/04/24,1304005,Silves/AM
16,2020/04/26,1301704,Humaitá/AM
17,2020/04/26,1302009,Itapiranga/AM
18,2020/05/08,1300144,Apuí/AM
19,2020/05/14,1301654,Guajará/AM
