city_number,city_code,metric
29,1302603,1050.0
13,1301001,500.49999999999966
12,1300904,453.5
44,1304104,452.0
18,1301704,317.5
26,1302405,301.5
15,1301209,203.5
16,1301308,203.5
21,1301902,103.0
8,1300631,99.5
52,1301100,94.0
42,1303957,66.0
36,1303304,52.0
22,1302009,51.0
28,1302553,48.0
48,1304302,41.0
4,1300300,20.0
10,1300805,18.0
34,1303106,10.0
27,1302504,4.5
3,1300102,2.0
37,1303403,1.0
24,1302207,0.5
0,1300029,0.0
1,1300060,0.0
2,1300086,0.0
5,1300409,0.0
6,1300508,0.0
7,1300607,0.0
9,1300680,0.0
11,1300839,0.0
14,1301159,0.0
17,1301605,0.0
19,1301803,0.0
20,1301852,0.0
23,1302108,0.0
25,1302306,0.0
30,1302702,0.0
31,1302801,0.0
32,1302900,0.0
33,1303007,0.0
35,1303205,0.0
38,1303601,0.0
39,1303700,0.0
40,1303809,0.0
41,1303908,0.0
43,1304062,0.0
45,1304203,0.0
46,1304237,0.0
47,1304260,0.0
49,1304401,0.0
50,1300144,0.0
51,1300706,0.0
53,1301654,0.0
54,1303536,0.0
55,1303569,0.0
56,1304005,0.0
