city_number,city_code,metric
1,1300706,
3,1301654,
11,1302603,0.014613778705636743
8,1302405,0.01443298969072165
4,1301704,0.013725490196078431
7,1302009,0.012511170688114389
2,1301100,0.012389380530973451
0,1300144,0.012037833190025795
10,1302553,0.010670731707317074
12,1302702,
17,1304005,0.011608623548922056
14,1303304,0.011522633744855968
6,1301902,0.010802469135802469
13,1303205,0.010424422933730455
16,1303569,0.010159651669085631
9,1302504,0.00778642936596218
5,1301852,0.003044802087864289
15,1303536,0.0028214429665457475
18,1304203,
19,1303403,
