,date,geocode,cities
0,2020/02/25,3550308,São Paulo/SP
1,2020/03/06,2910800,Feira de Santana/BA
2,2020/03/06,3304557,Rio de Janeiro/RJ
3,2020/03/07,5300108,Brasília/DF
4,2020/03/08,2704302,Maceió/AL
5,2020/03/11,4314902,Porto Alegre/RS
6,2020/03/12,4305108,Caxias do Sul/RS
7,2020/03/12,4106902,Curitiba/PR
8,2020/03/12,4205407,Florianópolis/SC
9,2020/03/12,5208707,Goiânia/GO
10,2020/03/12,2408102,Natal/RN
11,2020/03/12,2611606,Recife/PE
12,2020/03/12,5218805,Rio Verde/GO
13,2020/03/13,4209102,Joinville/SC
14,2020/03/13,1302603,Manaus/AM
15,2020/03/13,2927408,Salvador/BA
16,2020/03/14,2800308,Aracaju/SE
17,2020/03/14,3136702,Juiz de Fora/MG
18,2020/03/16,3106200,Belo Horizonte/MG
19,2020/03/16,2304400,Fortaleza/CE
20,2020/03/16,2925303,Porto Seguro/BA
21,2020/03/17,4113700,Londrina/PR
22,2020/03/17,1200401,Rio Branco/AC
23,2020/03/17,3170206,Uberlândia/MG
24,2020/03/18,1501402,Belém/PA
25,2020/03/18,4108304,Foz do Iguaçu/PR
26,2020/03/18,2507507,João Pessoa/PB
27,2020/03/18,4115200,Maringá/PR
28,2020/03/18,1721000,Palmas/TO
29,2020/03/18,2805703,Propriá/SE
30,2020/03/18,3549805,São José do Rio Preto/SP
31,2020/03/18,3549904,São José dos Campos/SP
32,2020/03/19,2211001,Teresina/PI
33,2020/03/20,4204202,Chapecó/SC
34,2020/03/20,5103403,Cuiabá/MT
35,2020/03/20,1100122,Ji-Paraná/RO
36,2020/03/20,2307304,Juazeiro do Norte/CE
37,2020/03/20,1600303,Macapá/AP
38,2020/03/20,2111300,São Luís/MA
39,2020/03/20,3170107,Uberaba/MG
40,2020/03/21,1400100,Boa Vista/RR
41,2020/03/21,4208203,Itajaí/SC
42,2020/03/21,4208807,Jaguaruna/SC
43,2020/03/21,2408003,Mossoró/RN
44,2020/03/21,4119905,Ponta Grossa/PR
45,2020/03/21,1100205,Porto Velho/RO
46,2020/03/22,2903201,Barreiras/BA
47,2020/03/22,4209300,Lages/SC
48,2020/03/22,1303403,Parintins/AM
49,2020/03/23,1504208,Marabá/PA
50,2020/03/23,2611101,Petrolina/PE
51,2020/03/23,4315602,Rio Grande/RS
52,2020/03/23,3205002,Serra/ES
53,2020/03/24,4209409,Laguna/SC
54,2020/03/24,2931350,Teixeira de Freitas/BA
55,2020/03/25,2913606,Ilhéus/BA
56,2020/03/25,2707503,Porto Real do Colégio/AL
57,2020/03/26,1503606,Itaituba/PA
58,2020/03/26,4314100,Passo Fundo/RS
59,2020/03/26,3543402,Ribeirão Preto/SP
60,2020/03/26,1303700,Santo Antônio do Içá/AM
61,2020/03/27,1702109,Araguaína/TO
62,2020/03/27,2504009,Campina Grande/PB
63,2020/03/27,2605459,Fernando de Noronha/PE
64,2020/03/27,4109401,Guarapuava/PR
65,2020/03/27,1302504,Manacapuru/AM
66,2020/03/28,5003702,Dourados/MS
67,2020/03/28,3302601,Mangaratiba/RJ
68,2020/03/28,1505536,Parauapebas/PA
69,2020/03/28,2207702,Parnaíba/PI
70,2020/03/29,1300102,Anori/AM
71,2020/03/29,1301902,Itacoatiara/AM
72,2020/03/30,3300100,Angra dos Reis/RJ
73,2020/03/30,1303205,Novo Airão/AM
74,2020/03/30,2510808,Patos/PB
75,2020/03/30,5107602,Rondonópolis/MT
76,2020/03/31,1500107,Abaetetuba/PA
77,2020/03/31,3506003,Bauru/SP
78,2020/03/31,1301159,Careiro da Várzea/AM
79,2020/03/31,3302403,Macaé/RJ
80,2020/03/31,1508100,Tucuruí/PA
81,2020/04/01,1501303,Barcarena/PA
82,2020/04/01,5204508,Caldas Novas/GO
83,2020/04/01,2105302,Imperatriz/MA
84,2020/04/01,1506807,Santarém/PA
85,2020/04/01,5008305,Três Lagoas/MS
86,2020/04/01,2933307,Vitória da Conquista/BA
87,2020/04/02,4118204,Paranaguá/PR
88,2020/04/02,5107909,Sinop/MT
89,2020/04/02,1304237,Tonantins/AM
90,2020/04/03,1500602,Altamira/PA
91,2020/04/03,1505205,Oeiras do Pará/PA
92,2020/04/03,2111201,São José de Ribamar/MA
93,2020/04/04,4208401,Itapiranga/SC
94,2020/04/04,3170701,Varginha/MG
95,2020/04/05,2301109,Aracati/CE
96,2020/04/05,2401107,Areia Branca/RN
97,2020/04/05,1301852,Iranduba/AM
98,2020/04/05,1600600,Santana/AP
99,2020/04/05,1100304,Vilhena/RO
100,2020/04/06,1502103,Cametá/PA
101,2020/04/06,1302306,Jutaí/AM
102,2020/04/06,3143302,Montes Claros/MG
103,2020/04/06,1303809,São Gabriel da Cachoeira/AM
104,2020/04/07,3300704,Cabo Frio/RJ
105,2020/04/07,2303501,Cascavel/CE
106,2020/04/07,5003207,Corumbá/MS
107,2020/04/07,1303908,São Paulo de Olivença/AM
108,2020/04/08,2105104,Icatu/MA
109,2020/04/08,1302702,Manicoré/AM
110,2020/04/08,3541406,Presidente Prudente/SP
111,2020/04/08,1304062,Tabatinga/AM
112,2020/04/10,1302900,Maués/AM
113,2020/04/10,1304203,Tefé/AM
114,2020/04/11,1500206,Acará/PA
115,2020/04/11,2933208,Vera Cruz/BA
116,2020/04/13,1200203,Cruzeiro do Sul/AC
117,2020/04/14,1300086,Anamã/AM
118,2020/04/14,1302405,Lábrea/AM
119,2020/04/14,1508084,Tucumã/PA
120,2020/04/14,1600808,Vitória do Jari/AP
121,2020/04/14,1505106,Óbidos/PA
122,2020/04/15,1502004,Cachoeira do Arari/PA
123,2020/04/15,1502806,Curralinho/PA
124,2020/04/15,1503903,Juruti/PA
125,2020/04/15,1600279,Laranjal do Jari/AP
126,2020/04/15,1504802,Monte Alegre/PA
127,2020/04/15,1504901,Muaná/PA
128,2020/04/16,1301001,Carauari/AM
129,2020/04/17,1500305,Afuá/PA
130,2020/04/17,1301209,Coari/AM
131,2020/04/18,2100204,Alcântara/MA
132,2020/04/18,5101803,Barra do Garças/MT
133,2020/04/18,1303601,Santa Isabel do Rio Negro/AM
134,2020/04/19,1300904,Canutama/AM
135,2020/04/19,1302207,Juruá/AM
136,2020/04/19,1506302,Salvaterra/PA
137,2020/04/19,1506401,Santa Cruz do Arari/PA
138,2020/04/20,1300300,Autazes/AM
139,2020/04/20,1501808,Breves/PA
140,2020/04/20,1505304,Oriximiná/PA
141,2020/04/21,1300631,Beruri/AM
142,2020/04/21,2924009,Paulo Afonso/BA
143,2020/04/21,1507706,São Sebastião da Boa Vista/PA
144,2020/04/22,1300409,Barcelos/AM
145,2020/04/22,1300607,Benjamin Constant/AM
146,2020/04/22,1302801,Maraã/AM
147,2020/04/22,1303106,Nova Olinda do Norte/AM
148,2020/04/23,1500404,Alenquer/PA
149,2020/04/23,1500701,Anajás/PA
150,2020/04/23,1302553,Manaquiri/AM
151,2020/04/23,1303007,Nhamundá/AM
152,2020/04/24,1300060,Amaturá/AM
153,2020/04/24,1300839,Caapiranga/AM
154,2020/04/24,1301308,Codajás/AM
155,2020/04/24,1301605,Fonte Boa/AM
156,2020/04/24,1504000,Limoeiro do Ajuru/PA
157,2020/04/24,1303304,Novo Aripuanã/AM
158,2020/04/24,2706802,Piaçabuçu/AL
159,2020/04/24,1505700,Ponta de Pedras/PA
160,2020/04/24,1505908,Porto de Moz/PA
161,2020/04/24,1304104,Tapauá/AM
162,2020/04/24,1508308,Viseu/PA
163,2020/04/25,1500503,Almeirim/PA
164,2020/04/25,1303957,São Sebastião do Uatumã/AM
165,2020/04/25,1304302,Urucará/AM
166,2020/04/26,1501105,Bagre/PA
167,2020/04/26,1301704,Humaitá/AM
168,2020/04/26,2916104,Itaparica/BA
169,2020/04/26,1302009,Itapiranga/AM
170,2020/04/26,1504604,Mocajuba/PA
171,2020/04/26,1304401,Urucurituba/AM
172,2020/04/27,1501600,Bonito/PA
173,2020/04/27,1300805,Borba/AM
174,2020/04/27,1504505,Melgaço/PA
175,2020/04/28,2706703,Penedo/AL
176,2020/04/29,1501204,Baião/PA
177,2020/04/29,2105005,Humberto de Campos/MA
178,2020/04/30,1100049,Cacoal/RO
179,2020/04/30,1506005,Prainha/PA
180,2020/05/02,1300508,Barreirinha/AM
181,2020/05/02,1507979,Terra Santa/PA
182,2020/05/03,1300680,Boa Vista do Ramos/AM
183,2020/05/03,1502509,Chaves/PA
184,2020/05/03,2924405,Pilão Arcado/BA
185,2020/05/03,1507805,Senador José Porfírio/PA
186,2020/05/04,1300029,Alvarães/AM
187,2020/05/04,2102903,Carutapera/MA
188,2020/05/04,2404408,Grossos/RN
189,2020/05/04,2926004,Remanso/BA
190,2020/05/05,1505809,Portel/PA
191,2020/05/05,5107925,Sorriso/MT
192,2020/05/06,2701506,Campo Grande/AL
193,2020/05/07,2307254,Jijoca de Jericoacoara/CE
194,2020/05/08,1502855,Curuá/PA
195,2020/05/08,1503002,Faro/PA
196,2020/05/08,4109500,Guaraqueçaba/PR
197,2020/05/08,1507904,Soure/PA
198,2020/05/08,1508357,Vitória do Xingu/PA
199,2020/05/09,2802403,Gararu/SE
200,2020/05/09,1503101,Gurupá/PA
201,2020/05/09,2806404,Santana do São Francisco/SE
202,2020/05/11,1302108,Japurá/AM
203,2020/05/12,1200351,Marechal Thaumaturgo/AC
204,2020/05/13,1710706,Itaguatins/TO
205,2020/05/13,1200393,Porto Walter/AC
206,2020/05/15,2908309,Conceição do Almeida/BA
207,2020/05/15,2109403,Primeira Cruz/MA
208,2020/05/15,2930204,Sento Sé/BA
209,2020/05/15,1304260,Uarini/AM
210,2020/05/18,2800704,Brejo Grande/SE
211,2020/05/22,2933604,Xique-Xique/BA
212,2020/05/23,2709202,Traipu/AL
213,2020/05/26,1501006,Aveiro/PA
214,2020/05/28,1301803,Ipixuna/AM
215,2020/05/28,4318507,São José do Norte/RS
