city_number,city_code,metric
33,1302603,74
167,3550308,66
65,1501402,48
145,3106200,40
147,5300108,40
197,2611606,38
142,3304557,30
91,1506807,28
198,3543402,26
25,1301902,24
66,1501808,24
159,5103403,23
126,2927408,22
41,1303403,20
143,5208707,19
156,4314902,19
193,2925303,19
49,1304203,18
58,1500503,17
73,1503101,17
88,1506005,17
146,4106902,17
166,2304400,17
19,1301209,15
20,1301308,15
80,1504802,15
82,1505106,15
164,4205407,15
185,2704302,15
0,1100205,14
75,1503903,14
101,1600303,14
102,1600600,14
188,2408102,14
152,2701506,12
5,1300060,11
11,1300607,11
21,1301605,11
29,1302306,11
43,1303700,11
45,1303908,11
47,1304062,11
50,1304237,11
103,1600808,11
112,2111300,11
204,3170206,11
208,3205002,11
87,1505908,10
93,1507805,10
95,1507979,10
99,1508357,10
100,1600279,10
201,2211001,10
144,2800308,9
64,1501303,8
70,1502806,8
72,1503002,8
84,1505304,8
148,1400100,8
163,4108304,8
175,2507507,8
14,1300805,7
38,1303106,7
56,1500305,7
57,1500404,7
77,1504208,7
109,2105302,7
181,4113700,7
191,1721000,7
12,1300631,6
22,1301704,6
31,1302504,6
34,1302702,6
40,1303304,6
68,1502103,6
86,1505809,6
171,4208807,6
192,2611101,6
200,3549805,6
4,1300029,5
17,1301001,5
28,1302207,5
37,1303007,5
51,1304260,5
52,1304302,5
62,1501105,5
78,1504505,5
83,1505205,5
92,1507706,5
176,2307304,5
178,2504009,5
184,3143302,5
187,4208203,5
1,1200203,4
6,1300086,4
7,1300102,4
10,1300508,4
13,1300680,4
26,1302009,4
46,1303957,4
48,1304104,4
59,1500602,4
60,1500701,4
69,1502509,4
79,1504604,4
161,3541406,4
170,2913606,4
190,4314100,4
195,1200401,4
199,3549904,4
8,1300300,3
9,1300409,3
15,1300839,3
27,1302108,3
35,1302801,3
42,1303601,3
44,1303809,3
53,1304401,3
63,1501204,3
74,1503606,3
76,1504000,3
81,1504901,3
97,1508100,3
150,2303501,3
153,4204202,3
162,5003702,3
183,4115200,3
205,3170107,3
16,1300904,2
30,1302405,2
32,1302553,2
36,1302900,2
54,1500107,2
61,1501006,2
67,1502004,2
71,1502855,2
90,1506401,2
96,1508084,2
107,2105005,2
111,2111201,2
130,3300100,2
140,5107925,2
141,3506003,2
151,3300704,2
154,1505536,2
155,5204508,2
168,4119905,2
172,2307254,2
174,1100122,2
177,4209102,2
186,2408003,2
194,2933307,2
209,2301109,2
210,2903201,2
213,2510808,2
215,1100049,2
218,5107909,2
2,1200351,1
3,1200393,1
18,1301159,1
23,1301803,1
24,1301852,1
39,1303205,1
55,1500206,1
85,1505700,1
89,1506302,1
94,1507904,1
98,1508308,1
104,1710706,1
105,2100204,1
106,2102903,1
108,2105104,1
110,2109403,1
113,2401107,1
114,2404408,1
115,2706703,1
116,2706802,1
117,2707503,1
118,2709202,1
119,2800704,1
120,2802403,1
121,2805703,1
122,2806404,1
123,2916104,1
124,2924405,1
125,2926004,1
127,2930204,1
128,2933208,1
129,2933604,1
131,3302601,1
132,4109500,1
133,4118204,1
134,4207205,1
135,4208401,1
136,4209409,1
137,4314498,1
138,4315602,1
139,4318507,1
149,5101803,1
157,5003207,1
158,4305108,1
160,1501600,1
165,2605459,1
169,4109401,1
173,3136702,1
179,2919306,1
180,4209300,1
182,3302403,1
189,2207702,1
196,5107602,1
202,5008305,1
203,2924009,1
206,3170701,1
207,1100304,1
211,2910800,1
212,2931350,1
214,2908309,1
216,1702109,1
217,5218805,1
