city_number,city_code,metric
3733,3550308,3318329.7216079547
2547,3131307,1654934.9659296472
151,1100122,1411486.1643497518
5337,5218805,1339986.5753110661
2264,3106200,1141348.3900977133
3004,3170206,1008695.4102457634
5264,5211503,1007873.8640059324
4766,4314902,942725.9197013978
3299,3509502,920206.1733981941
5153,5200258,885442.4375954617
1651,2702405,865601.3601086646
2236,3103504,792451.8909029522
3902,4106902,773295.2215581621
3717,3548708,754705.627385401
3170,3304557,664981.7498768506
1858,2905305,650296.9820953549
3123,3301009,611282.3465298347
883,2211001,578159.3234044953
5384,5300108,494363.12150978734
950,2304400,483866.446959851
5352,5219753,462212.78908897575
3927,4108304,460247.5913205852
3568,3534401,458885.8282979372
609,2109106,444903.858337245
391,1709302,444259.163910689
1922,2910800,439919.07308767823
154,1100155,437265.3844968759
751,2203909,411121.61586289626
1830,2903201,386684.82811337593
392,1709500,381024.7177678423
1578,2612208,365119.0556661731
126,2927408,356008.47889333457
2154,2929909,334601.7392051521
2197,2933307,331495.4117855617
1950,2913200,327615.515143593
5236,5208707,327299.13245017163
3108,3205309,316065.35035767057
4272,4205407,315915.71623939753
800,2206605,311473.8870212222
3663,3543402,310664.72291811294
1156,2408102,299434.30889255746
3870,4104303,293155.83772255044
4714,4312708,291259.9199988679
33,1302603,291177.8080899498
3728,3549904,285069.24352049537
1572,2611606,283059.6579756591
4369,4213104,277072.3468245878
3775,3554102,265851.0743243883
4948,5002704,263628.70002192486
4856,4320107,251234.21546020085
2194,2933158,243768.46733407903
65,1501402,240900.4975427806
2985,3168606,234657.1452474042
265,1504059,231340.9661824156
2003,2918001,229633.18043815487
1033,2310902,229513.01652103342
3003,3170107,229003.71357350436
2024,2919553,227580.04234677012
4746,4314100,226438.65545027488
1672,2704302,223076.7159608786
1324,2507507,221805.4868861866
5062,5104807,214818.97254509837
5267,5211800,210565.53932268472
819,2207702,208775.7732873906
0,1100205,207257.57177650137
346,1702109,205960.15839226247
1865,2906006,204961.77181626242
5160,5201108,203355.71086249818
2658,3140555,199219.92683151728
2689,3143302,198137.9281935861
4752,4314407,195403.4574901933
4835,4318705,195013.16128781237
2610,3136702,194297.87620563837
1096,2402006,193423.12512192034
5268,5211909,190911.6858632884
159,1100304,189628.5036277779
1280,2504009,187983.15753881558
5041,5103304,187444.85731635266
3727,3549805,185034.81636380588
4012,4115200,181612.10594016008
967,2305407,180668.4306416816
1565,2611002,179418.96716650567
4540,4304705,171706.0809758175
141,1100023,171199.8966616209
3907,4107207,170453.04476232085
1018,2309607,169135.98723668512
2505,3127701,166262.55381404192
112,2111300,159161.12364031386
2188,2932705,158604.2210773363
3752,3552205,156539.51313795062
5200,5205109,154017.81624229188
579,2106755,152119.09430441062
3239,3504008,150975.85091518273
4743,4314050,149850.4328416365
5108,5107107,146708.1697794466
4457,4300059,141693.42542481705
4875,4321204,140722.01172767833
3240,3504107,140583.68123905145
3477,3525904,139770.8201642396
730,2202752,139493.8628056079
2714,3145208,137770.59667738536
4313,4209003,137520.88820360895
922,2302503,137400.98861180813
3715,3548500,135373.9625572336
4649,4310207,134605.7384027275
486,2101202,132397.71696858262
3811,3557105,130193.10971270887
1968,2914802,128886.43731299031
990,2307304,128635.32889677094
3707,3547809,127018.94845329126
4890,4321808,126918.99794387473
1155,2408003,126747.44567694486
4679,4311403,126275.81202875864
2391,3117836,125005.40153467943
4657,4310504,124891.35653678533
2270,3106705,122783.5789808313
895,2300309,122725.53079252905
620,2109908,122679.62191787416
924,2302701,121857.37704020033
3212,3501608,120596.7960811382
5141,5108402,118342.35294230438
4598,4307005,117030.05895673667
1973,2915304,116909.69100581152
66,1501808,116867.28193554905
197,1200401,116151.80472760291
462,1721000,115698.25096788988
4624,4308607,115654.63694647313
3612,3538709,115580.4763888894
4073,4119905,114880.18841524675
4496,4302105,113242.85560358966
4435,4218202,113172.79572459693
4308,4208500,112103.04692516777
5375,5221601,111658.44259626693
5027,5102504,111454.83688669665
1725,2800308,110801.71405224285
1362,2510808,106368.43083429187
4612,4307906,104968.81798795974
1917,2910602,104958.50335318087
1157,2408300,103476.02594894121
4484,4301602,103366.06348933677
3571,3534708,103294.36755650878
3254,3505500,102867.9160532532
1598,2613909,101561.42701002622
