city_number,city_code,metric
3733,3550308,1461
2264,3106200,643
5236,5208707,604
3299,3509502,596
5384,5300108,572
3170,3304557,461
1922,2910800,436
126,2927408,435
3902,4106902,427
4766,4314902,423
5160,5201108,382
3878,4104808,371
3663,3543402,368
950,2304400,358
4012,4115200,351
4540,4304705,335
3727,3549805,323
883,2211001,309
1830,2903201,300
4948,5002704,295
2197,2933307,293
3004,3170206,286
2505,3127701,284
1572,2611606,283
3641,3541406,277
4835,4318705,271
5045,5103403,270
4272,4205407,257
3995,4113700,255
392,1709500,249
4253,4204202,249
2024,2919553,243
3003,3170107,239
3870,4104303,239
4073,4119905,238
1280,2504009,236
4679,4311403,235
1672,2704302,234
4623,4308508,234
1324,2507507,231
3728,3549904,229
3927,4108304,229
4856,4320107,227
1725,2800308,226
4609,4307807,224
4175,4127700,223
2610,3136702,221
65,1501402,218
3717,3548708,218
112,2111300,217
462,1721000,216
4736,4313706,214
1156,2408102,213
3212,3501608,213
4423,4217204,212
4870,4320800,212
5120,5107602,211
2985,3168606,205
3477,3525904,205
4217,4202008,205
5264,5211503,205
3568,3534401,203
4704,4312401,202
4452,4219507,199
827,2208007,198
2003,2918001,198
4746,4314100,195
2154,2929909,193
2547,3131307,193
4649,4310207,189
4022,4115804,187
346,1702109,186
4960,5003702,186
3929,4108403,185
1968,2914802,184
4657,4310504,184
1489,2604106,183
4314,4209102,182
4332,4210506,181
5229,5208004,178
3108,3205309,177
2046,2921302,176
4305,4208203,176
4057,4118501,175
4808,4317202,175
3612,3538709,172
4803,4316907,172
109,2105302,171
4981,5005707,171
1362,2510808,170
4812,4317509,170
486,2101202,169
3715,3548500,169
601,2108454,168
990,2307304,168
5024,5101803,167
1058,2312908,165
4007,4114609,164
1566,2611101,163
4417,4216701,163
2601,3136207,161
5268,5211909,161
517,2103000,160
245,1502400,159
3936,4108809,158
4094,4121406,158
423,1716109,157
2236,3103504,156
3707,3547809,156
4454,4219705,154
4728,4313409,153
942,2304202,152
5131,5107909,152
3752,3552205,151
4738,4313904,151
5328,5218003,151
151,1100122,150
2689,3143302,150
5337,5218805,150
751,2203909,149
0,1100205,148
4547,4305108,148
4956,5003306,148
3775,3554102,147
372,1705508,146
4980,5005681,146
5375,5221601,146
3259,3506003,145
1950,2913200,144
3508,3529005,144
4961,5003751,143
4306,4208302,142
1276,2503704,141
77,1504208,140
1578,2612208,140
4598,4307005,140
4969,5004601,140
1919,2910727,139
3230,3503208,138
1967,2914703,137
2096,2925105,137
4857,4320206,137
4183,4128104,136
4225,4202404,136
4575,4306106,135
159,1100304,134
5062,5104807,134
5267,5211800,133
3599,3537305,132
3842,4102604,132
2408,3119401,131
657,2112209,130
1628,2700300,130
4355,4212106,130
3123,3301009,129
4496,4302105,128
1876,2906873,127
3487,3526902,127
5283,5213103,126
141,1100023,125
2136,2928703,125
3719,3548906,124
4313,4209003,124
579,2106755,123
5163,5201405,123
5132,5107925,122
4182,4128005,121
3225,3502804,120
4389,4214805,120
391,1709302,119
468,2100055,119
4318,4209300,119
5085,5106224,119
620,2109908,118
2567,3133303,118
4628,4308904,118
2242,3104007,117
3571,3534708,117
4998,5007695,117
5157,5200803,117
154,1100155,116
243,1502202,116
1155,2408003,116
1458,2601201,116
2495,3127107,116
5027,5102504,116
2156,2930105,115
886,2211308,114
1598,2613909,114
3221,3502507,114
1433,2516201,113
2771,3149903,113
4018,4115606,113
4133,4124400,113
4283,4206405,113
5070,5105259,113
2629,3138401,112
121,2805703,111
3942,4109401,111
155,1100189,110
3239,3504008,110
5200,5205109,109
2051,2921708,108
4983,5006002,108
1998,2917508,107
2259,3105608,107
4624,4308607,107
3372,3516200,106
5141,5108402,106
2696,3143906,105
3193,3306305,105
4265,4205001,105
5100,5106752,105
143,1100049,104
253,1502954,104
533,2104057,104
819,2207702,104
1955,2913606,104
3883,4105300,104
4015,4115408,104
4107,4122404,104
916,2302008,103
1377,2512101,103
1917,2910602,103
3668,3543907,103
4255,4204301,103
4263,4204806,103
436,1718204,102
3115,3300407,102
4629,4309001,101
408,1713304,100
1800,2900702,100
1934,2911709,100
4612,4307906,100
1965,2914604,99
4244,4203600,99
4312,4208906,99
1848,2904605,98
2173,2931350,98
5106,5107040,98
968,2305506,97
1907,2909703,97
