city_number,city_code,metric
3662,3550308,4017954.2299613957
2191,3106200,1146330.3339369982
5173,5208707,752471.3274668612
5321,5300108,663151.6673952951
4701,4314902,635502.0392360702
3099,3304557,540015.5117795584
861,2304400,470106.3748033893
3228,3509502,454247.9102101062
3831,4106902,452409.2732799775
1069,2408102,390729.52888595127
2047,2927408,353840.99469123635
794,2211001,301849.1117330415
1485,2611606,288039.1099910229
1843,2910800,287873.077592839
3592,3543402,279957.39196047065
1193,2504009,263546.810400292
550,2111300,254057.5882185293
1585,2704302,241466.10334124262
1237,2507507,236849.08444497082
1642,2800308,235472.45809546334
5097,5201108,232875.33743278935
3656,3549805,229069.6659427978
4203,4205407,217123.08499433697
3942,4115200,206625.95481388285
2432,3127701,172829.6472891859
3807,4104808,162406.74998156956
112,1501402,161816.95718610802
4474,4304705,158289.4253488196
2537,3136702,156697.66941255413
365,1721000,156444.16773811702
2931,3170206,152807.0767272807
4885,5002704,151579.5726813011
4982,5103403,143578.10287713772
3925,4113700,137660.66114818893
738,2208007,134119.94703851306
3570,3541406,128583.43469900466
4772,4318705,128393.3132671198
1751,2903201,126679.74955252477
3035,3205309,113442.48571346348
1275,2510808,112255.31333268585
2930,3170107,111985.49705585754
3657,3549904,107845.00969907275
4004,4119905,106404.16013894684
2123,2933307,105907.1765941023
1068,2408003,105883.40184408314
1541,2700300,99623.39418848438
294,1709500,98961.21033922111
4739,4316907,98627.6334174436
3856,4108304,98024.10683281715
248,1702109,97014.5056463986
2912,3168606,93322.13054791633
128,1502400,89265.8248598225
459,2105302,85308.12981024406
229,1600303,85004.35076195624
3646,3548708,84719.64049876003
2474,3131307,83417.17317035604
4184,4204202,82998.98057743875
4613,4311403,79907.1747923289
1402,2604106,79358.79250648846
4583,4310207,74956.20342794781
16,1100205,74596.44081299499
4680,4314100,73339.18918892267
3541,3538709,66771.98639944312
1946,2919553,66446.08790273083
390,2101202,65630.94272729584
662,2203909,65434.26788480784
1423,2606002,65168.86727240384
1,1100023,63494.62296169786
5201,5211503,63403.455992493204
4323,4214805,60198.95488601469
4670,4313706,60141.81007532425
59,1200401,59964.118631250974
2616,3143302,59933.49125399732
77,1302603,59889.53505349975
1889,2914802,59570.09230133504
4532,4307005,59373.69813895358
3406,3525904,58958.8527038843
3799,4104303,58577.08178161556
5057,5107602,58450.13637811827
5068,5107909,58274.71269577136
969,2312908,57670.70322394539
4251,4209300,57570.32070471289
326,1716109,57247.239449311186
3497,3534401,56800.41940373606
4557,4308508,56628.93372970989
3704,3554102,56102.138457186695
5166,5208004,56078.141353691215
11,1100122,55883.439116238704
2186,3105608,55303.622637434426
1694,2805703,54185.82034095835
1925,2918001,54149.49277482091
86,1400100,53631.29808873413
4748,4317509,53156.62828299666
