city_number,city_code,metric
3662,3550308,3299766.652605644
2474,3131307,1488309.5182296308
11,1100122,1302189.1454387894
5274,5218805,1130259.3599256277
2191,3106200,1127135.1776684222
5201,5211503,1037349.1274301489
4701,4314902,912485.2373858241
3228,3509502,910931.3684466818
1564,2702405,869732.957321421
5090,5200258,839793.1849192326
2163,3103504,812494.0802326929
2931,3170206,780625.5225933164
3831,4106902,761980.9025986282
3646,3548708,757897.2222774021
3099,3304557,660802.8340752416
1779,2905305,625657.6847475203
3051,3301009,604970.0238049245
794,2211001,561669.1113692701
5321,5300108,479122.69909464585
861,2304400,471287.13581699244
3856,4108304,447703.5337712926
3497,3534401,445856.87492317194
5289,5219753,437136.9140553318
1843,2910800,432884.754613778
293,1709302,420835.59418658
1751,2903201,371792.81855682324
2047,2927408,353986.3670584055
1491,2612208,353476.3560790664
294,1709500,334047.2971059405
5173,5208707,327321.6110288946
662,2203909,326927.9831589677
2079,2929909,324867.4177848759
2123,2933307,324544.6986057828
1871,2913200,323459.7230278663
3035,3205309,318207.7086562471
4203,4205407,313117.26229178335
711,2206605,311619.4164235288
3592,3543402,300827.01631671586
3799,4104303,295564.825227784
4648,4312708,295482.83540030225
1069,2408102,284770.1075296005
3657,3549904,282004.15575049556
14,1100155,280002.68373293383
4885,5002704,273715.52408939734
517,2109106,271649.73870523035
4303,4213104,270852.55950208724
1485,2611606,268465.2110615531
3704,3554102,264667.5949586207
4793,4320107,249535.89266694587
5097,5201108,246902.42989933142
2912,3168606,240641.8373321267
150,1504059,235797.55833652228
2930,3170107,234821.38529620747
2120,2933158,232299.69380626758
944,2310902,228357.93368785377
1946,2919553,227034.21195260817
16,1100205,226514.78717519782
4680,4314100,226510.77104348058
1925,2918001,223805.26512173878
1585,2704302,222190.99838613364
730,2207702,210715.13624714245
5204,5211800,208647.88956677262
1786,2906006,206302.7873093769
2537,3136702,202909.21519734032
4999,5104807,201266.0363643107
20,1100304,200960.16238923007
248,1702109,199913.80122775474
4686,4314407,197865.7298938369
2616,3143302,194296.53154748995
1008,2402006,194128.22616772843
3656,3549805,193547.97252029917
2585,3140555,193515.34244860974
4772,4318705,192430.1262013818
5205,5211909,188494.59011425395
1193,2504009,186399.52016118757
1478,2611002,185736.87901696225
878,2305407,182728.03593720394
3942,4115200,181081.464612474
4474,4304705,171519.6319530368
929,2309607,170351.17443448812
3836,4107207,170147.2812671379
2432,3127701,167442.04201381555
1,1100023,163839.36187310214
4978,5103304,163131.60980188113
1237,2507507,160852.62352313532
2114,2932705,160160.64493175925
5137,5205109,155361.57562085474
550,2111300,155257.77314545104
3681,3552205,154788.95902944068
3168,3504008,149837.1740361967
487,2106755,148816.78982002757
4677,4314050,148550.49877988303
5045,5107107,145296.61824068986
77,1302603,143158.5
4391,4300059,139500.03170293503
3169,3504107,139457.18278466727
4812,4321204,138640.49409362912
2641,3145208,136984.06260067833
4246,4209003,136955.27013886964
3406,3525904,136302.54185518465
3644,3548500,134473.5044676411
641,2202752,133509.2721826936
4583,4310207,133115.61915243958
806,2300309,132044.2138828276
901,2307304,130188.7468572192
2677,3148004,129287.61600221433
3740,3557105,128888.0635491329
1068,2408003,128412.44865331316
1889,2914802,127751.92428191546
3636,3547809,126654.32044947078
835,2302701,126485.41601312581
833,2302503,126418.72313547198
2318,3117836,126199.73171272625
4613,4311403,125867.216191863
4827,4321808,125005.50358574664
4591,4310504,123700.78150699139
2197,3106705,120611.86598942813
1894,2915304,120356.55685919093
390,2101202,120141.93392703158
3141,3501608,119659.41264626065
529,2109908,118573.32365315083
4532,4307005,117056.47267332162
4558,4308607,115904.15215742981
5078,5108402,115815.23343571047
3541,3538709,114445.62519841306
4004,4119905,113166.07402674772
4369,4218202,112766.74016904146
365,1721000,112628.17805356256
4430,4302105,111377.54895410161
4241,4208500,110803.10622685913
5312,5221601,109614.30980838682
4964,5102504,108894.13773063215
1642,2800308,107178.58538331174
4418,4301602,103795.88618844732
4546,4307906,103121.46978616153
1838,2910602,103117.89918109502
1070,2408300,102897.46004816703
3500,3534708,101909.19463531883
3183,3505500,101729.03063800202
1511,2613909,101723.8099751648
3570,3541406,100106.07348138411
3807,4104808,98588.16238474962
4497,4305702,97709.62307679506
3648,3548906,94549.86117826034
4946,5100201,94309.0753928317
1275,2510808,93834.77903490937
3984,4118204,92989.19769283955
5166,5208004,91543.76686474253
4266,4210506,91177.43801659295
4323,4214805,90362.65256410786
4114,4128104,89553.58358562058
