,date,geocode,cities
0,2020/02/25,3550308,São Paulo/SP
1,2020/03/07,3547304,Santana de Parnaíba/SP
2,2020/03/12,3515707,Ferraz de Vasconcelos/SP
3,2020/03/16,3529401,Mauá/SP
4,2020/03/16,3547809,Santo André/SP
5,2020/03/16,3548708,São Bernardo do Campo/SP
6,2020/03/16,3548807,São Caetano do Sul/SP
7,2020/03/17,3518800,Guarulhos/SP
8,2020/03/18,3505708,Barueri/SP
9,2020/03/18,3509502,Campinas/SP
10,2020/03/18,3513009,Cotia/SP
11,2020/03/18,3524709,Jaguariúna/SP
12,2020/03/18,3534401,Osasco/SP
13,2020/03/18,3549805,São José do Rio Preto/SP
14,2020/03/18,3549904,São José dos Campos/SP
15,2020/03/19,3552502,Suzano/SP
16,2020/03/19,3554102,Taubaté/SP
17,2020/03/19,3556453,Vargem Grande Paulista/SP
18,2020/03/20,3519071,Hortolândia/SP
19,2020/03/20,3530607,Mogi das Cruzes/SP
20,2020/03/25,3515004,Embu das Artes/SP
21,2020/03/25,3521408,Iracemápolis/SP
22,2020/03/25,3525904,Jundiaí/SP
23,2020/03/25,3539806,Poá/SP
24,2020/03/25,3543303,Ribeirão Pires/SP
25,2020/03/25,3543907,Rio Claro/SP
26,2020/03/25,3550704,São Sebastião/SP
27,2020/03/25,3552809,Taboão da Serra/SP
28,2020/03/25,3556206,Valinhos/SP
29,2020/03/26,3503901,Arujá/SP
30,2020/03/26,3527306,Louveira/SP
31,2020/03/26,3528502,Mairiporã/SP
32,2020/03/26,3543402,Ribeirão Preto/SP
33,2020/03/26,3554003,Tatuí/SP
34,2020/03/27,3513801,Diadema/SP
35,2020/03/27,3552205,Sorocaba/SP
36,2020/03/30,3507803,Brodowski/SP
37,2020/03/30,3509205,Cajamar/SP
38,2020/03/30,3522505,Itapevi/SP
39,2020/03/30,3524006,Itupeva/SP
40,2020/03/30,3536505,Paulínia/SP
41,2020/03/30,3537305,Penápolis/SP
42,2020/03/30,3538709,Piracicaba/SP
43,2020/03/30,3540606,Porto Feliz/SP
44,2020/03/30,3548500,Santos/SP
45,2020/03/30,3550407,São Pedro/SP
46,2020/03/31,3501608,Americana/SP
