city_number,city_code,metric
539,3550308,83465.526379597
105,3509502,19478.929214114298
533,3549805,14787.09583140907
469,3543402,12379.535765061653
447,3541406,7053.565250909614
65,3506003,5694.076323290595
558,3552205,5448.396475795193
418,3538709,5235.589868073494
314,3529005,4792.039312108371
31,3502804,4771.579671188548
18,3501608,4318.675917793264
45,3504008,4109.119977789017
120,3511102,3955.6028653073345
273,3524808,3872.209758493043
581,3554102,3675.2782788838354
534,3549904,3487.440748776854
283,3525904,3283.6439934001774
178,3516200,3092.2936759577847
268,3524303,2912.092093659916
513,3547809,2620.4883532847307
36,3503208,2592.0010906665348
521,3548500,2525.9452015962493
247,3522307,2178.1845480828524
377,3534708,2136.224690165203
374,3534401,2069.724451669659
523,3548708,2036.5906518293916
60,3505500,2034.08433408797
474,3543907,2023.1535063921197
592,3555000,2013.906459661267
295,3527108,1928.1875247634523
405,3537305,1895.6568561991783
580,3554003,1825.604103591655
29,3502705,1799.6577620376777
617,3557105,1797.7717432915263
66,3506102,1700.1275087067077
71,3506508,1668.801276880287
183,3516705,1628.3817927147197
500,3546603,1533.4572302445993
406,3537404,1483.5178873887917
153,3514403,1481.6910174278464
248,3522406,1407.0392015381585
546,3551009,1384.8724200950464
84,3507605,1383.0591325567061
502,3546801,1369.4356159632196
83,3507506,1318.6302497629072
376,3534609,1316.0443949144785
280,3525706,1305.7610966711668
422,3539103,1301.3150522640801
419,3538808,1280.6941382532648
525,3548906,1252.6795865673796
442,3541000,1186.906589099182
50,3504503,1053.1300502797455
542,3550605,1048.1617096836353
498,3546405,1007.5555361673797
293,3526902,934.151827506794
593,3555109,917.0471826365355
369,3533908,897.4824280543511
386,3535507,871.9625889415679
328,3530300,858.1018012493313
170,3515509,855.6189537536718
46,3504107,854.2110051106581
23,3502101,797.5098034750598
269,3524402,769.5841128955022
338,3531308,759.7548334227644
113,3510203,751.3416737582562
331,3530607,733.2852502545918
571,3553401,729.0339923677641
391,3536000,708.0984708004523
553,3551702,699.0472639299555
95,3508603,697.7369767200814
276,3525300,688.1804192644294
575,3553708,663.252388959229
69,3506359,655.1287757858884
460,3542602,654.322742967861
215,3519402,651.6320568873323
373,3534302,646.1090071114475
291,3526704,635.3538183574755
472,3543709,633.6424416598838
537,3550100,629.451267569484
603,3556008,621.621280515498
512,3547700,620.8729986635177
286,3526209,619.419190536873
440,3540804,618.0
461,3542800,618.0
420,3538907,583.5261374016236
257,3523206,578.6883787546307
0,3500105,532.4101767091506
412,3538006,525.2085897663527
201,3518404,506.5080084888114
339,3531407,502.57398244290044
266,3524105,499.2450528223669
399,3536703,484.51251222889766
217,3519600,461.577098195219
524,3548807,445.61384383660845
487,3545209,433.4270192227622
151,3514205,433.265670172148
390,3535903,433.265670172148
27,3502507,424.58984575753396
252,3522703,415.1073241345371
585,3554508,411.0469638630257
316,3529203,409.4257900571828
353,3532603,396.97870885323283
456,3542206,394.3109937387835
529,3549409,391.08135225923706
40,3503505,386.63011779068955
198,3518107,378.50271304167455
298,3527405,377.71485753965334
327,3530201,370.2569127163775
128,3512001,364.7003815093587
97,3508801,361.37362191369454
94,3508504,357.5739446906551
116,3510500,354.0361354807816
597,3555406,349.48503788012994
317,3529302,335.7815415940791
423,3539202,334.35467870597427
239,3521606,326.15585674204124
30,3502754,324.8271996277533
284,3526001,323.5622489368721
64,3505906,318.3469558904834
493,3545803,316.7829892834801
351,3532405,312.73089744816497
453,3541901,304.8813358742706
157,3514809,303.0748209840369
387,3535606,300.8412673763476
264,3523909,300.1295011874039
413,3538105,296.2695084169156
292,3526803,295.6718801000026
557,3552106,294.8138609845208
448,3541505,294.62592516932517
115,3510401,284.9421541773592
589,3554805,283.38067478938103
76,3507001,272.92296943567055
47,3504206,268.2132171465966
21,3501905,253.88915403010432
540,3550407,248.00716199293404
552,3551603,244.50189430148475
154,3514502,244.3278277378637
458,3542404,240.8543797693791
220,3519907,234.36668875838373
107,3509700,232.25458585907376
6,3500600,220.66526528255278
365,3533502,216.8332851819172
278,3525508,214.17799165534217
15,3501301,213.62173251160016
414,3538204,211.4980977790104
227,3520509,206.23950324861153
576,3553807,206.02821997214136
253,3522802,203.84072042062053
124,3511508,196.64041428825468
92,3508306,194.08861555278492
226,3520442,190.89664124253588
54,3505005,190.75274288903313
345,3532009,190.64244026983025
601,3555802,190.5183635909581
296,3527207,190.1763155802315
378,3534757,189.05649092207463
408,3537602,187.31525509735224
424,3539301,186.45469296168085
393,3536208,185.25050388622373
131,3512308,183.46930148366243
106,3509601,182.3086933044676
222,3520103,180.49487524086828
482,3544806,180.3153344172478
212,3519204,179.99180298156827
101,3509254,179.71525042676606
205,3518800,173.74249715310935
166,3515202,172.93747837865953
430,3539905,172.45618980529858
271,3524600,170.84591557194705
7,3500709,169.4678465781481
231,3520905,169.13618073997702
473,3543808,165.87500099227495
326,3530102,164.25180961797648
1,3500204,163.44700709805295
319,3529500,163.44700709805295
75,3506904,161.921409524733
103,3509403,161.58236086032085
401,3537008,157.9829844201069
340,3531506,153.74401543836746
548,3551207,144.32990375628864
619,3557204,143.8983579514408
137,3512902,139.73711349493357
555,3551900,138.6314853795963
81,3507407,133.09910756273183
194,3517703,128.49219224579838
449,3541604,125.15622493534484
336,3531100,124.04342671086448
606,3556305,121.36451978853766
175,3515905,118.56204506222967
182,3516606,118.46184382057092
355,3532801,116.53623488116564
311,3528809,114.6466151322612
230,3520806,113.91428219023328
61,3505609,113.82712927380422
68,3506300,113.4284366799294
288,3526407,113.35179990044122
4,3500501,111.82662148984608
294,3527009,111.82662148984608
333,3530805,108.51226130078666
125,3511607,107.10227827694185
437,3540507,106.6749921467325
613,3556800,105.36664262038236
196,3517901,104.1857379698371
359,3533007,103.51237262829798
260,3523503,102.92757531574335
63,3505807,101.11820069002073
204,3518701,99.21173377684723
410,3537800,98.23253240202955
143,3513504,97.0718035157019
372,3534203,94.68155265114429
398,3536604,94.68155265114429
476,3544202,94.68155265114429
407,3537503,87.89363285899456
187,3517000,87.86080433096437
258,3523305,87.50632357197803
404,3537206,87.50632357197803
211,3519105,87.34326842503201
41,3503604,85.82288491952009
224,3520301,85.15222820228138
56,3505203,82.76117270839998
344,3531902,81.28640848536077
330,3530508,80.56207361748353
545,3550902,78.23632993861854
218,3519709,77.27104171879978
510,3547601,75.47501723171759
35,3503158,73.5114536649631
53,3504909,73.5114536649631
531,3549607,73.5114536649631
445,3541208,73.26467469969539
381,3535002,73.19310550706335
37,3503307,70.00057780286349
431,3540002,68.438197009719
123,3511409,66.64456371192843
309,3528601,66.64456371192843
380,3534906,66.2577318781753
489,3545407,64.39284685705697
168,3515350,59.6678743289105
583,3554300,59.6678743289105
259,3523404,59.00141914072677
186,3516903,56.99782105629313
191,3517406,56.62701287517013
364,3533403,55.97618766386533
272,3524709,55.3932466976174
244,3522109,54.81191094251497
491,3545605,54.35949988619299
306,3528304,53.54410611110673
417,3538600,53.24089579699462
527,3549102,52.67008716891803
483,3544905,51.80563664204152
109,3509908,51.355868556089234
459,3542503,50.97475064409001
121,3511201,50.92352746082976
90,3508108,50.64415141955802
88,3507902,50.4307936136956
598,3555505,49.12201958032636
411,3537909,48.76438933120743
42,3503703,48.387103622123746
49,3504404,47.55782698630089
488,3545308,46.89772266454076
438,3540606,46.59215962681939
254,3522901,46.42995639172869
213,3519253,45.98934653100433
57,3505302,42.34836703861908
477,3544251,41.59733922218448
20,3501806,40.693524933806046
343,3531803,39.7634375093293
285,3526100,37.709731142804586
241,3521804,35.92509732487959
136,3512803,35.13174687352662
176,3516002,35.043675839367594
52,3504800,34.80764717739514
484,3545001,34.62310366853154
588,3554706,34.57404008796052
596,3555356,32.57774784027377
203,3518602,32.40718698571866
446,3541307,32.0015318331256
543,3550704,31.738902972710395
439,3540705,31.26229078865981
169,3515400,31.048770579884696
190,3517307,30.290092268965555
332,3530706,30.04377815934121
242,3521903,29.636480819286103
385,3535408,27.93793071789651
195,3517802,27.92793057704004
199,3518206,27.92793057704004
289,3526506,27.92793057704004
347,3532108,27.92793057704004
612,3556701,27.253880663764278
267,3524204,26.884720936190938
74,3506805,26.723268703212288
152,3514304,26.723268703212288
462,3542909,26.723268703212288
561,3552502,26.167466236041435
348,3532157,25.823007472340134
114,3510302,25.581056045241308
281,3525805,25.44471949493107
421,3539004,23.986171378747436
118,3510807,23.76582053842869
520,3548401,23.075279930625058
432,3540101,21.939661616954627
532,3549706,21.90554897055451
382,3535101,21.770689024297635
530,3549508,21.554313154541774
43,3503802,20.90143390296738
189,3517208,20.800725996718832
299,3527504,20.425454086134526
140,3513207,19.276996763423316
608,3556404,19.26451804282921
24,3502200,18.97081460228043
471,3543600,18.720888088262058
202,3518503,17.3582227612586
200,3518305,16.974053443175276
522,3548609,16.950853722211377
302,3527801,16.68171400107695
324,3529906,16.390404430790504
219,3519808,16.060107288435137
611,3556602,15.973663908342495
3,3500402,14.820758877074356
567,3553005,14.408592089894187
127,3511904,12.708468832537822
322,3529708,12.30084619580654
455,3542107,12.190375580096607
308,3528502,11.1657757424464
426,3539509,10.992812090507122
492,3545704,10.814370844686756
225,3520426,10.688438763939848
395,3536406,10.63568344031449
102,3509304,10.608879326441452
208,3519006,10.595999321151302
454,3542008,10.595999321151302
240,3521705,9.505293337452544
133,3512506,8.909340869671029
599,3555604,8.156131824688218
148,3513900,7.955217825419529
508,3547403,6.9230995711574215
595,3555307,6.9230995711574215
126,3511706,6.785739813372937
117,3510708,6.742964213303298
132,3512407,6.629275588620228
341,3531605,6.53513712506102
119,3511003,6.219723551302499
141,3513306,6.075
142,3513405,5.765316788474683
425,3539400,5.604066481380865
389,3535804,5.593052147708503
497,3546306,5.468022663610898
145,3513702,5.467075466345895
578,3553906,5.416666666666667
564,3552700,5.306548389879751
85,3507704,4.733490012565007
228,3520608,4.518518518518519
468,3543303,4.467004371317984
156,3514700,3.705638645999222
250,3522604,3.690834289485579
538,3550209,3.5600347656793216
216,3519501,3.530364945996483
602,3555901,3.4419537390198487
614,3556909,3.3538930665447397
93,3508405,3.332925357118905
2,3500303,3.3320818070818072
318,3529401,3.3026754411187165
223,3520202,3.274431174122804
560,3552403,3.218873319350623
444,3541109,3.166511426625638
261,3523602,2.9337034217151916
89,3508009,2.789830657447557
44,3503901,2.740178876712611
188,3517109,2.713341117167872
441,3540903,2.589594120082094
505,3547106,2.589377715273777
323,3529807,2.4991854319549422
