,date,geocode,cities
0,2020/03/13,1302603,Manaus/AM
1,2020/03/13,2927408,Salvador/BA
2,2020/03/18,1501402,Belém/PA
3,2020/03/18,2805703,Propriá/SE
4,2020/03/20,1600303,Macapá/AP
5,2020/03/20,2111300,São Luís/MA
6,2020/03/21,1100205,Porto Velho/RO
7,2020/03/22,1303403,Parintins/AM
8,2020/03/23,1504208,Marabá/PA
9,2020/03/23,4315602,Rio Grande/RS
10,2020/03/24,4209409,Laguna/SC
11,2020/03/25,2707503,Porto Real do Colégio/AL
12,2020/03/26,1503606,Itaituba/PA
13,2020/03/26,1303700,Santo Antônio do Içá/AM
14,2020/03/27,1302504,Manacapuru/AM
15,2020/03/28,3302601,Mangaratiba/RJ
16,2020/03/29,1300102,Anori/AM
17,2020/03/29,1301902,Itacoatiara/AM
18,2020/03/30,3300100,Angra dos Reis/RJ
19,2020/03/30,1303205,Novo Airão/AM
20,2020/03/31,1500107,Abaetetuba/PA
21,2020/03/31,1301159,Careiro da Várzea/AM
22,2020/03/31,1508100,Tucuruí/PA
23,2020/04/01,1501303,Barcarena/PA
24,2020/04/01,2105302,Imperatriz/MA
25,2020/04/01,1506807,Santarém/PA
26,2020/04/02,4118204,Paranaguá/PR
27,2020/04/02,1304237,Tonantins/AM
28,2020/04/03,1500602,Altamira/PA
29,2020/04/03,1505205,Oeiras do Pará/PA
30,2020/04/03,2111201,São José de Ribamar/MA
31,2020/04/04,4208401,Itapiranga/SC
32,2020/04/05,2401107,Areia Branca/RN
33,2020/04/05,1301852,Iranduba/AM
34,2020/04/05,1600600,Santana/AP
35,2020/04/06,1502103,Cametá/PA
36,2020/04/06,1302306,Jutaí/AM
37,2020/04/06,1303809,São Gabriel da Cachoeira/AM
38,2020/04/07,1303908,São Paulo de Olivença/AM
39,2020/04/08,2105104,Icatu/MA
40,2020/04/08,1302702,Manicoré/AM
41,2020/04/08,1304062,Tabatinga/AM
42,2020/04/10,1302900,Maués/AM
43,2020/04/10,1304203,Tefé/AM
44,2020/04/11,1500206,Acará/PA
45,2020/04/11,2933208,Vera Cruz/BA
46,2020/04/13,1200203,Cruzeiro do Sul/AC
47,2020/04/14,1300086,Anamã/AM
48,2020/04/14,1302405,Lábrea/AM
49,2020/04/14,1508084,Tucumã/PA
50,2020/04/14,1600808,Vitória do Jari/AP
51,2020/04/14,1505106,Óbidos/PA
52,2020/04/15,1502004,Cachoeira do Arari/PA
53,2020/04/15,1502806,Curralinho/PA
54,2020/04/15,1503903,Juruti/PA
55,2020/04/15,1600279,Laranjal do Jari/AP
56,2020/04/15,1504802,Monte Alegre/PA
57,2020/04/15,1504901,Muaná/PA
58,2020/04/16,1301001,Carauari/AM
59,2020/04/17,1500305,Afuá/PA
60,2020/04/17,1301209,Coari/AM
61,2020/04/18,2100204,Alcântara/MA
62,2020/04/18,1303601,Santa Isabel do Rio Negro/AM
63,2020/04/19,1300904,Canutama/AM
64,2020/04/19,1302207,Juruá/AM
65,2020/04/19,1506302,Salvaterra/PA
66,2020/04/19,1506401,Santa Cruz do Arari/PA
67,2020/04/20,1300300,Autazes/AM
68,2020/04/20,1501808,Breves/PA
69,2020/04/20,1505304,Oriximiná/PA
70,2020/04/21,1300631,Beruri/AM
71,2020/04/21,1507706,São Sebastião da Boa Vista/PA
72,2020/04/22,1300409,Barcelos/AM
73,2020/04/22,1300607,Benjamin Constant/AM
74,2020/04/22,1302801,Maraã/AM
75,2020/04/22,1303106,Nova Olinda do Norte/AM
