city_number,city_code,metric
48,1504208,2214.0
66,2611606,1849.0
25,1302603,1677.0
52,2704302,1571.0
88,2510808,1374.0
7,4106902,1341.0
30,3550308,1225.0
67,3543402,1113.0
44,2504009,977.0
29,2304400,694.0
6,3106200,693.0
60,2611101,654.0
23,3541406,595.0
20,5103403,488.0
8,5300108,484.0
9,1400100,484.0
53,1600303,410.0
33,1500602,341.0
94,1303403,311.0
62,1100205,279.0
82,3205002,255.0
56,2408102,249.0
3,5208707,230.0
71,3549805,189.0
61,2925303,186.0
17,4314902,162.0
5,1501402,138.0
47,4113700,136.0
27,4205407,125.0
79,3170107,108.0
13,2701506,106.0
2,3304557,98.0
0,5107925,94.0
1,3506003,94.0
51,3143302,94.0
84,2301109,94.0
70,1506807,81.0
42,2307304,56.0
58,4314100,53.0
72,2927408,20.0
74,2211001,9.0
36,2105302,7.0
78,3170206,6.0
69,2111300,2.0
4,2800308,1.0
10,5101803,0.0
11,2303501,0.0
12,3300704,0.0
14,4204202,0.0
15,1505536,0.0
16,5204508,0.0
18,5003207,0.0
19,4305108,0.0
21,1200203,0.0
22,1501600,0.0
24,5003702,0.0
26,4108304,0.0
28,2605459,0.0
31,4119905,0.0
32,4109401,0.0
34,1503606,0.0
35,2913606,0.0
37,4208807,0.0
38,2307254,0.0
39,3136702,0.0
40,1100122,0.0
41,2507507,0.0
43,4209102,0.0
45,2919306,0.0
46,4209300,0.0
49,3302403,0.0
50,4115200,0.0
54,2408003,0.0
55,4208203,0.0
57,2207702,0.0
59,1721000,0.0
63,2933307,0.0
64,1200401,0.0
65,5107602,0.0
68,3549904,0.0
73,1505304,0.0
75,1304203,0.0
76,5008305,0.0
77,2924009,0.0
80,3170701,0.0
81,1100304,0.0
83,3300100,0.0
85,2903201,0.0
86,2910800,0.0
87,2931350,0.0
89,2908309,0.0
90,1100049,0.0
91,1702109,0.0
92,1302405,0.0
93,5218805,0.0
95,5107909,0.0
