city_number,city_code,metric
30,3550308,7693337.0
2,3304557,2378852.0
8,5300108,1952962.0
6,3106200,1230380.0
66,2611606,1107631.0
72,2927408,941707.0
17,4314902,915369.0
29,2304400,811271.0
7,4106902,685011.0
27,4205407,457182.0
82,3205002,393936.0
25,1302603,383891.0
5,1501402,377314.0
3,5208707,359449.0
20,5103403,326394.0
56,2408102,321671.0
52,2704302,310274.0
61,2925303,262008.0
26,4108304,260450.0
55,4208203,239220.0
69,2111300,196113.0
41,2507507,194430.0
13,2701506,179628.0
4,2800308,156976.0
74,2211001,152220.0
62,1100205,100473.0
78,3170206,94785.0
53,1600303,87177.0
47,4113700,82749.0
50,4115200,76458.0
35,2913606,66301.0
59,1721000,64720.0
43,4209102,59600.0
42,2307304,54048.0
9,1400100,48960.0
64,1200401,46613.0
14,4204202,42186.0
70,1506807,36036.0
67,3543402,34898.0
63,2933307,33928.0
11,2303501,29582.0
60,2611101,28985.0
58,4314100,28633.0
36,2105302,28129.0
48,1504208,23088.0
38,2307254,22925.0
19,4305108,20549.0
44,2504009,18107.0
37,4208807,16621.0
95,5107909,15795.0
12,3300704,15371.0
39,3136702,15011.0
16,5204508,13527.0
71,3549805,11879.0
24,5003702,11871.0
15,1505536,11147.0
51,3143302,9121.0
40,1100122,7733.0
90,1100049,7095.0
85,2903201,6401.0
65,5107602,5109.0
31,4119905,4946.0
81,1100304,4642.0
93,5218805,4604.0
91,1702109,4445.0
54,2408003,3840.0
68,3549904,3683.0
87,2931350,3451.0
21,1200203,3348.0
46,4209300,2803.0
18,5003207,2731.0
76,5008305,2638.0
22,1501600,2580.0
23,3541406,2152.0
49,3302403,1831.0
77,2924009,1625.0
79,3170107,1573.0
28,2605459,1315.0
89,2908309,1159.0
57,2207702,1031.0
86,2910800,978.0
34,1503606,850.0
73,1505304,818.0
1,3506003,622.0
32,4109401,562.0
10,5101803,380.0
84,2301109,353.0
33,1500602,159.0
45,2919306,83.0
0,5107925,75.0
92,1302405,52.0
94,1303403,46.0
80,3170701,26.0
83,3300100,7.0
88,2510808,4.0
75,1304203,3.0
