city_number,city_code,metric
33,1302603,2940.566666666665
66,1501808,2347.408333333332
65,1501402,1397.6380952380957
56,1500305,1168.5273809523806
17,1301001,1057.8333333333344
25,1301902,514.2666666666671
16,1300904,453.0
41,1303403,435.2333333333336
19,1301209,394.1666666666675
20,1301308,394.1666666666675
99,1508357,382.68690476190477
48,1304104,368.0
22,1301704,311.1666666666667
103,1600808,275.2595238095239
102,1600600,201.74285714285716
91,1506807,200.0
79,1504604,188.0
12,1300631,187.0
76,1504000,187.0
101,1600303,172.08333333333337
93,1507805,137.1107142857143
64,1501303,116.6857142857143
72,1503002,100.0
57,1500404,97.66666666666667
63,1501204,96.5
31,1302504,96.0
54,1500107,93.0
62,1501105,85.33333333333333
100,1600279,76.2595238095238
8,1300300,30.916666666666664
70,1502806,25.74285714285714
92,1507706,6.5
14,1300805,5.0
1,1200203,3.0
53,1304401,2.0
107,2105005,2.0
111,2111201,2.0
109,2105302,1.0
126,2927408,1.0
28,1302207,0.5
0,1100205,0.0
2,1200351,0.0
3,1200393,0.0
4,1300029,0.0
5,1300060,0.0
6,1300086,0.0
7,1300102,0.0
9,1300409,0.0
10,1300508,0.0
11,1300607,0.0
13,1300680,0.0
15,1300839,0.0
18,1301159,0.0
21,1301605,0.0
23,1301803,0.0
24,1301852,0.0
26,1302009,0.0
27,1302108,0.0
29,1302306,0.0
30,1302405,0.0
32,1302553,0.0
34,1302702,0.0
35,1302801,0.0
36,1302900,0.0
37,1303007,0.0
38,1303106,0.0
39,1303205,0.0
40,1303304,0.0
42,1303601,0.0
43,1303700,0.0
44,1303809,0.0
45,1303908,0.0
46,1303957,0.0
47,1304062,0.0
49,1304203,0.0
50,1304237,0.0
51,1304260,0.0
52,1304302,0.0
55,1500206,0.0
58,1500503,0.0
59,1500602,0.0
60,1500701,0.0
61,1501006,0.0
67,1502004,0.0
68,1502103,0.0
69,1502509,0.0
71,1502855,0.0
73,1503101,0.0
74,1503606,0.0
75,1503903,0.0
77,1504208,0.0
78,1504505,0.0
80,1504802,0.0
81,1504901,0.0
82,1505106,0.0
83,1505205,0.0
84,1505304,0.0
85,1505700,0.0
86,1505809,0.0
87,1505908,0.0
88,1506005,0.0
89,1506302,0.0
90,1506401,0.0
94,1507904,0.0
95,1507979,0.0
96,1508084,0.0
97,1508100,0.0
98,1508308,0.0
104,1710706,0.0
105,2100204,0.0
106,2102903,0.0
108,2105104,0.0
110,2109403,0.0
112,2111300,0.0
113,2401107,0.0
114,2404408,0.0
115,2706703,0.0
116,2706802,0.0
117,2707503,0.0
118,2709202,0.0
119,2800704,0.0
120,2802403,0.0
121,2805703,0.0
122,2806404,0.0
123,2916104,0.0
124,2924405,0.0
125,2926004,0.0
127,2930204,0.0
128,2933208,0.0
129,2933604,0.0
130,3300100,0.0
131,3302601,0.0
132,4109500,0.0
133,4118204,0.0
134,4207205,0.0
135,4208401,0.0
136,4209409,0.0
137,4314498,0.0
138,4315602,0.0
139,4318507,0.0
