city_number,city_code,metric
33,1302603,1721.0
65,1501402,1032.0
91,1506807,871.0
126,2927408,767.0
128,2933208,539.0
64,1501303,475.0
138,4315602,472.0
139,4318507,472.0
18,1301159,467.0
66,1501808,459.0
49,1304203,457.0
82,1505106,434.0
88,1506005,355.0
75,1503903,349.0
47,1304062,325.0
11,1300607,309.0
86,1505809,291.0
80,1504802,290.0
25,1301902,282.0
58,1500503,271.0
41,1303403,268.0
20,1301308,267.0
19,1301209,262.0
29,1302306,252.0
21,1301605,246.0
78,1504505,241.0
31,1302504,236.0
38,1303106,228.0
123,2916104,228.0
14,1300805,213.0
52,1304302,203.0
73,1503101,198.0
34,1302702,197.0
45,1303908,192.0
43,1303700,191.0
50,1304237,188.0
117,2707503,186.0
121,2805703,186.0
40,1303304,181.0
102,1600600,180.0
4,1300029,179.0
5,1300060,179.0
84,1505304,176.0
61,1501006,154.0
46,1303957,153.0
12,1300631,148.0
26,1302009,148.0
87,1505908,143.0
6,1300086,136.0
74,1503606,130.0
68,1502103,129.0
70,1502806,129.0
32,1302553,124.0
7,1300102,122.0
115,2706703,120.0
122,2806404,120.0
95,1507979,116.0
100,1600279,109.0
101,1600303,108.0
103,1600808,107.0
0,1100205,104.0
10,1300508,103.0
57,1500404,97.0
116,2706802,93.0
119,2800704,93.0
15,1300839,83.0
92,1507706,78.0
22,1301704,72.0
72,1503002,72.0
67,1502004,69.0
51,1304260,67.0
56,1500305,66.0
113,2401107,66.0
114,2404408,66.0
89,1506302,65.0
83,1505205,63.0
13,1300680,61.0
53,1304401,58.0
90,1506401,56.0
79,1504604,54.0
9,1300409,53.0
93,1507805,52.0
81,1504901,50.0
134,4207205,50.0
136,4209409,50.0
99,1508357,49.0
42,1303601,46.0
44,1303809,46.0
71,1502855,46.0
62,1501105,44.0
107,2105005,43.0
130,3300100,42.0
131,3302601,42.0
132,4109500,42.0
133,4118204,42.0
37,1303007,41.0
36,1302900,38.0
85,1505700,35.0
110,2109403,34.0
76,1504000,33.0
8,1300300,29.0
69,1502509,29.0
105,2100204,24.0
112,2111300,24.0
35,1302801,23.0
48,1304104,22.0
135,4208401,21.0
137,4314498,21.0
28,1302207,20.0
111,2111201,18.0
125,2926004,18.0
127,2930204,18.0
27,1302108,17.0
60,1500701,17.0
94,1507904,14.0
17,1301001,11.0
97,1508100,11.0
98,1508308,11.0
106,2102903,11.0
109,2105302,11.0
104,1710706,10.0
1,1200203,9.0
39,1303205,9.0
108,2105104,9.0
63,1501204,8.0
24,1301852,7.0
54,1500107,6.0
55,1500206,6.0
3,1200393,4.0
23,1301803,4.0
96,1508084,4.0
124,2924405,3.0
129,2933604,3.0
16,1300904,2.0
59,1500602,2.0
118,2709202,2.0
120,2802403,2.0
2,1200351,1.0
30,1302405,1.0
77,1504208,1.0
