city_number,city_code,metric
3662,3550308,4031344.5505871056
2191,3106200,1026723.933864645
5173,5208707,771377.015420366
5321,5300108,638633.1189353465
3099,3304557,549845.5358797838
4701,4314902,523071.14218355797
861,2304400,487472.9356506067
3228,3509502,473160.6541915121
3831,4106902,444184.5485746323
1069,2408102,384711.07383725833
1843,2910800,305997.6230783922
2047,2927408,304554.1872376073
3592,3543402,277978.50387921266
794,2211001,276568.7977499882
1485,2611606,255704.65018091095
1193,2504009,252857.10906833073
550,2111300,244288.81410446312
5097,5201108,241283.12224221107
1237,2507507,239585.10447708063
1642,2800308,236666.1053936161
3656,3549805,230142.56369009442
1585,2704302,228627.6500565052
3942,4115200,212159.37794645465
2432,3127701,182627.34699454613
3807,4104808,177451.15674920665
4474,4304705,167825.04364909965
2931,3170206,162053.69377322812
2537,3136702,159702.0846509889
4885,5002704,157935.5166631225
365,1721000,154723.51678047908
4203,4205407,154159.30051085757
112,1501402,146379.1350533977
4982,5103403,146375.14158891782
3925,4113700,137256.9622191974
4772,4318705,137070.94812297073
738,2208007,135500.61704436986
3570,3541406,129413.5665537855
1751,2903201,125538.45678198377
3035,3205309,124794.89287446789
59,1200401,117587.81603757212
2930,3170107,117486.16180342832
3657,3549904,113523.27231777186
1275,2510808,112790.1352251095
1541,2700300,112204.45145447135
2123,2933307,108785.96367365398
3856,4108304,108118.81502803361
4004,4119905,107633.30363996622
1068,2408003,105912.84999567982
16,1100205,104619.48105198662
294,1709500,104356.92949094069
4739,4316907,103475.67772626784
2912,3168606,101114.58400156711
248,1702109,99823.02665588274
128,1502400,93961.01314256295
459,2105302,89318.45327585757
2474,3131307,87857.18701129068
3646,3548708,86911.76317038614
4613,4311403,84577.63258355758
4184,4204202,82346.43518270133
1402,2604106,81946.41209005656
1,1100023,81726.20336957149
4583,4310207,77597.5250462247
4680,4314100,74412.78630201545
1946,2919553,68787.58105054258
3541,3538709,67861.39632566617
662,2203909,66538.27428359336
390,2101202,65986.20012759187
5201,5211503,65822.96581407357
1423,2606002,65317.950141979774
5057,5107602,64459.389074898296
4670,4313706,62301.119223583264
2616,3143302,61691.03066407341
4532,4307005,61483.88109488368
1889,2914802,61455.862191996624
4323,4214805,61220.81003164931
