city_number,city_code,metric
3662,3550308,3288275.215176261
2474,3131307,1543009.2236607978
11,1100122,1289253.2626961893
2191,3106200,1123590.7863420162
5274,5218805,1091820.6929342882
5201,5211503,984757.4444219621
2931,3170206,957582.0935827662
4701,4314902,920187.8882804392
3228,3509502,905352.6126054872
1564,2702405,844910.686350825
5090,5200258,825151.4220316304
2163,3103504,783205.327908176
3831,4106902,753765.4101440313
3646,3548708,744605.9999765655
3099,3304557,654371.702830623
1779,2905305,636010.5158313689
3051,3301009,600055.3100804454
794,2211001,554746.2135457782
5321,5300108,489164.65515233716
861,2304400,474940.02850754425
3856,4108304,450880.37148062245
3497,3534401,449743.9550186573
1843,2910800,431362.7264616958
5289,5219753,431209.6313796734
293,1709302,415236.76314676553
1751,2903201,369850.7320104199
294,1709500,363186.22487430164
2047,2927408,346767.949729612
1491,2612208,344446.63160263124
5173,5208707,322963.37371276814
662,2203909,322159.49981127074
2123,2933307,321694.7681260822
2079,2929909,321299.2090794304
4203,4205407,311550.7865055664
3035,3205309,310900.76653512166
1871,2913200,308978.87336710753
3592,3543402,306494.72657234914
711,2206605,305135.3423074795
1069,2408102,294877.83290630876
4648,4312708,294741.720889568
3799,4104303,291520.8631117724
3657,3549904,279167.7144631887
1485,2611606,274289.00222405273
4885,5002704,271505.6682242912
4303,4213104,270731.94081670645
517,2109106,263188.339941694
3704,3554102,262006.15848211004
4793,4320107,248248.62791372684
2912,3168606,233387.067075524
2120,2933158,232000.6780560184
150,1504059,230735.66321041327
2930,3170107,227505.65446919083
944,2310902,227416.63473175294
4680,4314100,225226.37768350105
1946,2919553,222533.2811210073
1925,2918001,221015.47674756727
1585,2704302,219981.19509131231
730,2207702,208550.95997147146
5204,5211800,206982.64424836496
1786,2906006,205413.9309079165
4999,5104807,204678.37488163973
5097,5201108,203640.0337469565
14,1100155,198878.4837329336
16,1100205,196290.76548189757
248,1702109,195761.1399971192
2537,3136702,193371.44349965348
2585,3140555,193123.802835572
4772,4318705,192801.80408592784
1008,2402006,192482.8774680094
4686,4314407,191905.80213550755
2616,3143302,188995.3917415833
5205,5211909,186633.5496051879
1193,2504009,185016.82954979042
20,1100304,183417.01093505794
3656,3549805,182149.62049958823
1237,2507507,179952.77654129473
878,2305407,179254.64133007513
1478,2611002,179165.83057910463
3942,4115200,178712.068809952
4978,5103304,176511.08443732298
4474,4304705,169951.98717817068
3836,4107207,169560.3502401002
929,2309607,166962.6161184516
2432,3127701,164824.64234675415
1,1100023,164115.87115375063
2114,2932705,159390.43345186146
3681,3552205,153673.265128989
550,2111300,153580.63699464328
5137,5205109,152716.79940437898
4677,4314050,149142.92705253616
3168,3504008,147646.38576366773
487,2106755,147452.54620244907
5045,5107107,144896.2366793592
4391,4300059,139233.66422415414
4812,4321204,138711.79046218633
3169,3504107,138461.9989591564
3406,3525904,136161.6867569208
4246,4209003,136051.52053785644
2641,3145208,135862.4125634422
3644,3548500,133621.97906478535
4583,4310207,133426.86178816436
641,2202752,132002.66553101238
833,2302503,130377.94462702551
3740,3557105,128537.75994595523
901,2307304,127722.17809824308
1889,2914802,126387.88602222966
3636,3547809,125620.75686889014
2318,3117836,125315.44632911446
4613,4311403,125133.26187943674
1068,2408003,124823.585227815
4827,4321808,124622.79369847008
4591,4310504,122474.42177604184
835,2302701,121990.28208511644
806,2300309,121128.27084310824
2197,3106705,120461.58240573967
3141,3501608,118919.72949218951
529,2109908,117922.76940879846
390,2101202,116845.99772247106
1894,2915304,115903.09249922885
4532,4307005,115221.90351908714
4558,4308607,115100.23715620307
5078,5108402,114474.62241892565
3541,3538709,113708.97638888942
4004,4119905,113032.17037237802
4369,4218202,111868.16239126361
4430,4302105,111140.55734074146
365,1721000,110488.99827457372
4241,4208500,110168.44866509458
4964,5102504,109984.3289895003
5312,5221601,108967.60649370484
1642,2800308,106434.55979000471
4418,4301602,103354.7449156198
4546,4307906,102531.31798795973
1070,2408300,102398.01797007752
3500,3534708,101303.61669070787
1838,2910602,101286.89351813754
3183,3505500,101254.94759605583
1511,2613909,100759.7231000954
4497,4305702,98676.39839805005
59,1200401,98415.66338561071
15,1100189,97613.82412398251
3807,4104808,96775.18108997939
3570,3541406,95388.51406418227
3648,3548906,94189.34442773912
4946,5100201,94007.213111529
1275,2510808,92744.2518566876
3984,4118204,92312.93481029019
5166,5208004,90478.72396518217
4266,4210506,90221.74242883528
4323,4214805,89640.04791499855
4114,4128104,88786.53219767596
4684,4314209,88770.4508302679
3150,3502507,88545.7667079988
738,2208007,88535.52486733343
3925,4113700,87569.1445646356
2939,3170701,87313.86705438166
17,1100254,86371.05395137258
4843,4322509,85833.75347079716
2019,2925105,84994.06762520011
3992,4118857,83493.82439373193
4543,4307807,83197.13436703058
3870,4109302,83046.93726013956
1423,2606002,82251.49610873222
2494,3133303,82089.00759033981
4478,4304903,81864.33735441823
5047,5107180,80006.64232051691
3064,3302007,79086.3242102782
4175,4203600,78718.45306351763
3094,3304201,77809.42458319012
5265,5218003,77078.62700351168
3547,3539301,76571.62549172544
1018,2403103,75201.0510731754
1978,2922102,74973.65058759399
1513,2614105,74190.62619230838
1629,2708600,73972.49949530262
4625,4311809,73197.42176217333
2623,3143906,73057.17095467787
2102,2931608,73018.74569209578
3122,3306305,72650.0809367306
4357,4217204,72544.33365521872
4743,4317103,70746.29632533237
1694,2805703,70438.39561390474
128,1502400,70380.18488886955
836,2302800,69135.63446198095
1619,2707503,69041.87173416663
1541,2700300,69029.445088322
937,2310308,68569.00664590482
2416,3126752,67978.71897089318
889,2306306,67771.09547396729
1888,2914703,66947.72589707292
4509,4306106,66939.57779524027
3769,4102406,66769.07431501735
783,2210508,66205.02321106504
459,2105302,65884.05567854535
1621,2707701,65861.29619086774
5037,5106752,65820.04352389803
4168,4203105,65340.73844475378
4061,4124103,64845.24727071721
3798,4104204,64310.029594564665
1479,2611101,64083.67968371268
2724,3152105,63857.375916481215
2973,3201209,63696.25760862578
627,2202208,63478.40382114466
4574,4309605,63109.407592159754
2335,3119401,61983.37587879915
4748,4317509,61911.43383069673
2653,3145901,61605.096944783196
4893,5003306,61251.4687307494
2564,3138807,60973.05692033919
1958,2920452,60007.97507763066
2152,3102407,59683.642366266664
2976,3201506,58180.40487291798
191,1506609,57763.52003088848
252,1702406,57492.49870738795
4440,4302451,57488.333190327314
3159,3503208,57261.6390347409
1085,2409704,57236.304891644046
1402,2604106,56904.628404427895
3437,3529005,56741.53148592912
1824,2909307,56321.15992063498
4184,4204202,56003.86843196954
4982,5103403,55795.58638470375
509,2108454,55502.95704568748
1976,2922003,55147.33919177306
2914,3168804,54893.026047653955
5294,5220108,54831.50609863808
5143,5205497,54403.151007455315
443,2104206,53971.29308149192
1811,2908002,53589.825263489365
4108,4127858,53324.052875230605
1930,2918407,52925.27824165807
2617,3143401,52812.98484848485
2099,2931350,52362.68897382833
515,2109007,52264.28131813268
607,2201705,52046.77435505657
2734,3152907,51757.56311195788
4807,4320800,51662.61669253261
5054,5107354,51550.718563040326
3623,3546603,51535.289549723915
4920,5006002,51476.78613292658
112,1501402,51290.56782407862
3207,3507605,50974.523226773264
2958,3200102,50927.02960876106
2347,3120409,50328.721169605145
4879,5002100,49994.05189383711
4428,4302006,49886.1632593547
3765,4102000,49514.70225195499
2141,3101508,49452.595612822224
5025,5106257,49047.34669498744
1371,2601201,48880.22066805779
1336,2515500,48237.45000113395
1819,2908804,47747.165394978685
77,1302603,47625.0
1722,2900801,47335.86871423326
1308,2513406,46764.41677481653
3871,4109401,46756.57852623461
587,2200400,46670.38696817512
2727,3152204,46637.048665043054
2594,3141306,46449.83729714938
289,1708205,46325.703861740636
339,1718204,46065.24009628726
1225,2506301,45949.86705381274
4739,4316907,45941.14850411339
2840,3162500,45772.410857435134
3543,3538907,45119.85541418501
4965,5102603,45068.18321250738
879,2305506,45036.46476925498
4388,4219705,44839.03208738997
4744,4317202,44787.59037647511
4906,5004601,44358.823972722945
4186,4204301,43863.631264216194
1413,2605103,43657.53107307894
1916,2917300,43479.33587311492
969,2312908,43470.50418372528
2919,3169208,43460.233165574726
4461,4304200,43438.51031652205
648,2203206,43123.54977061833
5149,5206206,43010.87413947034
2777,3157005,42873.254398206605
5263,5217609,42863.01288185491
1353,2516904,42549.33774616323
4466,4304606,42482.22281302314
4581,4310009,42455.63372923208
1149,2500577,42305.0
4237,4208203,42260.868022494265
5211,5212501,42037.78913500481
4113,4128005,41845.42198345239
394,2101400,41534.2143319719
1573,2703205,41523.03106588878
2061,2928703,41473.9123572866
4481,4305108,41423.60017306536
3743,4100103,41306.43478844415
3387,3523909,41205.68039382585
2606,3142403,41196.03331439945
274,1705508,40506.579075872025
3067,3302205,40323.86566647392
3937,4114609,39815.675374363556
3396,3524808,39744.55830894867
1020,2403251,39678.68765956266
533,2110203,39504.33695335688
2005,2924009,39482.601100164946
645,2202901,39275.79821479326
438,2104057,39083.05042954239
1189,2503704,38849.998602035965
411,2102325,38793.81822274487
3616,3545803,38792.288549259094
391,2101251,38733.1904838659
3206,3507506,38427.21584553231
2186,3105608,38215.71345463189
5271,5218607,38041.80877073384
2202,3107307,38025.12798370119
4791,4319901,37973.82009869258
5174,5208806,37952.243443079504
4784,4319406,37801.256602382055
1699,2806206,37795.426197202076
1074,2408706,37680.062249624585
3080,3303302,37527.37500706177
4025,4121406,37416.167714716765
4638,4312401,37400.9295743496
3528,3537305,37366.819794797615
1195,2504074,37048.083333333336
241,1700707,36882.857006720464
311,1713304,36719.11444556827
4238,4208302,36675.43499259156
3487,3533403,36629.32666677503
3266,3513504,36610.30521117909
939,2310506,36590.97397035224
3948,4115606,36499.02011110945
1401,2604007,35829.74641972764
3522,3536703,35737.30030828994
4738,4316808,34843.68285357656
591,2200707,34757.87347814043
