city_number,city_code,metric
3662,3550308,67641.00002
2191,3106200,36467.0
2047,2927408,32847.0
1642,2800308,31176.0
3228,3509502,28484.0
5173,5208707,28050.0
861,2304400,27239.0
4701,4314902,26585.0
1193,2504009,25698.0
1843,2910800,25495.0
1485,2611606,25430.0
1402,2604106,25065.0
3099,3304557,24087.0
1401,2604007,21256.0
794,2211001,20946.00002
3592,3543402,19413.0
3831,4106902,19088.0
5321,5300108,17008.0
1457,2608909,16843.0
1474,2610608,16594.0
112,1501402,16212.0
1275,2510808,16069.0
3656,3549805,15820.0
128,1502400,15717.0
3807,4104808,15112.0
3942,4115200,14815.0
4772,4318705,14711.00001
1585,2704302,14276.0
1541,2700300,14260.0
1676,2804003,13945.0
459,2105302,13754.0
1698,2806107,13558.0
2537,3136702,12873.0
1672,2803609,12804.0
4982,5103403,12710.0
1665,2802908,12600.0
1237,2507507,12569.0
3570,3541406,12355.0
3925,4113700,12340.0
152,1504208,12229.0
969,2312908,12103.0
2432,3127701,12047.0
2123,2933307,11667.0
4474,4304705,11309.0
4885,5002704,11303.0
3035,3205309,11196.0
1451,2608453,11181.0
738,2208007,11037.0
1925,2918001,11036.0
1537,2616407,10995.0
1751,2903201,10802.00001
1069,2408102,10761.0
5097,5201108,10718.0
422,2103000,10588.0
1245,2508307,10484.0
1415,2605202,10452.0
4203,4205407,10327.00001
509,2108454,10211.0
1468,2610004,10095.0
3681,3552205,9615.0
4004,4119905,9571.0
1652,2801504,9495.0
550,2111300,9418.0
1829,2909802,9310.0
2931,3170206,9281.00001
1669,2803302,9261.0
1721,2900702,9261.0
3531,3537602,8945.0
1509,2613701,8935.0
1479,2611101,8922.0
1889,2914802,8894.0
3406,3525904,8839.0
1394,2603454,8645.0
3657,3549904,8572.0
2061,2928703,8483.0
4247,4209102,8374.0
294,1709500,8295.0
829,2302107,8260.0
4739,4316907,8191.0
3541,3538709,8149.00001
1388,2602902,8107.0
901,2307304,8103.0
1487,2611804,8077.0
1694,2805703,8031.0
4613,4311403,8028.0
1968,2921302,7996.0
3141,3501608,7984.0
2474,3131307,7749.000049999999
4638,4312401,7706.0
4106,4127700,7681.0
2368,3122306,7669.0
3071,3302403,7590.0
4184,4204202,7580.0
3188,3506003,7509.0
3437,3529005,7492.0
1682,2804508,7326.0
3051,3301009,7296.000029999999
2528,3136207,7280.0
4807,4320800,7265.0
2912,3168606,7234.0
248,1702109,7210.0
1290,2512101,7202.0
2081,2930105,7189.0
5057,5107602,7186.0
1422,2605905,7104.0
1491,2612208,7093.0
4148,4202008,7008.0
1464,2609501,6996.0
2930,3170107,6981.0
804,2300150,6966.0
4680,4314100,6886.0
4543,4307807,6877.0
3159,3503208,6841.0
3856,4108304,6782.0
390,2101202,6733.0
1423,2606002,6732.0
365,1721000,6729.0
2075,2929602,6727.0
4156,4202404,6578.0
1517,2614501,6570.0
2536,3136652,6566.0
5078,5108402,6520.0
3799,4104303,6498.0
3952,4115804,6463.0
853,2304202,6454.0
4323,4214805,6452.0
2986,3202405,6431.0
2197,3106705,6406.0
4481,4305108,6389.0
1346,2516201,6383.0
1371,2601201,6383.0
2048,2927507,6368.0
2019,2925105,6345.0
816,2301208,6306.0
126,1502202,6295.0
2186,3105608,6288.0
3757,4101408,6279.0
4038,4122404,6258.0
3043,3300407,6250.0
2335,3119401,6164.0
1683,2804607,6135.0
2730,3152501,6128.0
1668,2803203,6125.0
568,2112209,6078.0
2086,2930501,6055.0
4897,5003702,6055.0
11,1100122,6020.00001
371,2100055,6001.0
3454,3530607,5970.0
4237,4208203,5968.0
3168,3504008,5961.00001
515,2109007,5955.0
3704,3554102,5953.0
5265,5218003,5930.0
191,1506609,5928.0
1378,2601904,5924.0
326,1716109,5920.0
3080,3303302,5897.0
662,2203909,5895.0000199999995
2269,3113404,5889.0
1511,2613909,5881.0
2485,3132404,5873.0
3648,3548906,5814.0
1853,2911600,5807.0
137,1502954,5805.0
3644,3548500,5800.0
1455,2608750,5788.0
976,2313401,5784.0
1678,2804201,5779.0
2116,2932903,5775.0
2973,3201209,5773.0
1671,2803500,5736.0
1189,2503704,5728.0
4430,4302105,5713.0
2616,3143302,5691.0
3865,4108809,5677.0
1840,2910727,5643.0
1879,2913903,5643.0
173,1505536,5629.0
1946,2919553,5616.0
1657,2802106,5613.0
1876,2913606,5586.0
3122,3306305,5564.0
1797,2906873,5560.0
3625,3546801,5550.0
4557,4308508,5533.0
274,1705508,5529.0
5068,5107909,5509.0
1225,2506301,5495.0
2897,3167202,5492.0
955,2311603,5472.0
3081,3303401,5465.0
1658,2802205,5451.0
3858,4108403,5426.0
3391,3524303,5425.0
981,2313757,5421.0
1709,2807204,5384.0
1427,2606408,5376.0
1815,2908408,5376.0
4961,5101803,5360.0
929,2309607,5281.0
14,1100155,5278.00006
966,2312601,5263.0
1296,2512705,5262.0
3150,3502507,5257.0
2079,2929909,5232.00001
505,2108207,5232.0
3932,4114203,5212.0
3067,3302205,5160.0
2108,2932200,5140.0
3416,3526902,5126.0
4583,4310207,5121.0
3597,3543907,5084.0
3370,3522307,5073.0
3500,3534708,5052.00001
16,1100205,5027.0
3565,3541000,5013.0
879,2305506,5001.0
438,2104057,5000.0
1463,2609402,4980.0
4114,4128104,4974.0
587,2200400,4966.0
4793,4320107,4957.0
1344,2516102,4948.0
1221,2506004,4940.0
2556,3138401,4931.0
3154,3502804,4889.0
517,2109106,4880.0
1805,2907509,4872.0
4386,4219507,4870.0
4509,4306106,4870.0
4662,4313409,4870.0
4670,4313706,4844.0
5312,5221601,4831.0
2927,3169901,4820.0
951,2311306,4814.0
2500,3133808,4788.0
4964,5102504,4785.0
1250,2508802,4768.0
1481,2611309,4763.0
2005,2924009,4723.0
1417,2605400,4721.0
1644,2800506,4708.0
1332,2515104,4704.0
1020,2403251,4703.0
2667,3147105,4699.0
3758,4101507,4697.0
1871,2913200,4695.00001
2587,3140704,4672.0
1467,2609907,4660.0
1848,2911204,4648.0
4738,4316808,4646.0
5201,5211503,4612.00001
1713,2807600,4604.0
2623,3143906,4604.0
627,2202208,4589.0
3044,3300506,4588.0
3715,3555000,4581.0
1903,2916104,4574.0
1605,2706307,4570.0
1725,2901106,4551.0
3939,4114807,4547.0
1653,2801603,4541.0
3905,4112108,4518.0
5000,5104906,4517.0
2109,2932309,4516.0
1351,2516706,4507.0
1906,2916401,4502.0
869,2304954,4499.0
5204,5211800,4484.0
1239,2507705,4471.0
4667,4313508,4470.0
2721,3151800,4465.0
1404,2604205,4464.0
17,1100254,4460.00001
20,1100304,4401.0
1,1100023,4391.0
2724,3152105,4378.0
1769,2904605,4349.0
3025,3204906,4347.0
4918,5005707,4336.0
2948,3171303,4323.0
3646,3548708,4317.0
3014,3204203,4311.0
4357,4217204,4307.0
3669,3551009,4298.0
3948,4115606,4297.0
5069,5107925,4262.0
5007,5105259,4259.0
3094,3304201,4257.0
172,1505502,4245.0
1920,2917508,4228.0
2324,3118304,4222.0
3042,3300308,4204.0
890,2306405,4199.0
1308,2513406,4178.0
3988,4118501,4178.0
2939,3170701,4173.00001
1330,2514909,4172.0
1068,2408003,4171.0
10,1100114,4167.0
2998,3203130,4151.0
4748,4317509,4145.0
2038,2926608,4115.0
4744,4317202,4106.0
2713,3151008,4094.0
4917,5005681,4085.0
963,2312304,4068.0
2976,3201506,4064.00002
2018,2925006,4064.0
1527,2615508,4062.0
2641,3145208,4057.0
5022,5106224,4056.0
1153,2500775,4054.0
1930,2918407,4045.0
4025,4121406,4044.0
1294,2512507,4035.0
2494,3133303,4033.0
117,1501709,4029.0
2553,3138203,4027.0
3583,3542602,4020.0
3418,3527108,4016.0
3301,3516200,4012.0
1691,2805406,4009.0
3002,3203320,4006.0
5166,5208004,4002.0
1699,2806206,3994.0
1316,2513927,3980.0
1674,2803807,3977.0
5271,5218607,3964.0
133,1502772,3941.0
3456,3530805,3932.0
3497,3534401,3930.0
3118,3306008,3920.0
3419,3527207,3911.0
4246,4209003,3908.0
5058,5107701,3902.0
2169,3104007,3900.0
1407,2604502,3894.0
797,2211308,3893.0
1706,2806909,3891.0
3676,3551702,3885.0
3812,4105300,3880.0
1838,2910602,3877.0
3937,4114609,3877.0
1498,2612604,3847.0
3160,3503307,3845.0
1984,2922607,3843.0
5190,5210208,3842.0
1649,2801207,3831.0
2099,2931350,3831.0
930,2309706,3830.0
3027,3205002,3826.0
