,date,city_code,city_name
0,11/1/2020,420100,Wuhan
1,19/1/2020,110000,Beijingshi
2,19/1/2020,440300,Shenzhen
3,20/1/2020,310000,Shanghaishi
4,20/1/2020,421100,Huanggang
5,20/1/2020,440400,Zhuhai
6,20/1/2020,440800,Zhanjiang
7,20/1/2020,441300,Huizhou
8,21/1/2020,120000,Tianjinshi
9,21/1/2020,330100,Hangzhou
10,21/1/2020,330300,Wenzhou
11,21/1/2020,360300,Pingxiang
12,21/1/2020,361000,Fuzhou
13,21/1/2020,370200,Qingdao
14,21/1/2020,371000,Weihai
15,21/1/2020,410100,Zhengzhou
16,21/1/2020,430100,Changsha
17,21/1/2020,431100,Yongzhou
18,21/1/2020,440100,Guangzhou
19,21/1/2020,440200,Shaoguan
20,21/1/2020,440600,Foshan
21,21/1/2020,500000,Chongqingshi
22,21/1/2020,510100,Chengdu
23,21/1/2020,511600,Guang'an
24,21/1/2020,530100,Kunming
25,22/1/2020,130100,Shijiazhuang
26,22/1/2020,140100,Taiyuan
27,22/1/2020,220100,Changchun
28,22/1/2020,231000,Mudanjiang
29,22/1/2020,320500,Suzhou
30,22/1/2020,330200,Ningbo
31,22/1/2020,330600,Shaoxing
32,22/1/2020,330700,Jinhua
33,22/1/2020,330800,Quzhou
34,22/1/2020,330900,Zhoushan
35,22/1/2020,331000,Taizhoushi
36,22/1/2020,340100,Hefei
37,22/1/2020,341100,Chuzhou
38,22/1/2020,341200,Fuyang
39,22/1/2020,341500,Lu'an
40,22/1/2020,341600,Bozhou
41,22/1/2020,360100,Nanchang
42,22/1/2020,371300,Linyi
43,22/1/2020,410300,Luoyang
44,22/1/2020,411200,Sanmenxia
45,22/1/2020,420800,Jingmen
46,22/1/2020,421000,Jingzhou
47,22/1/2020,431200,Huaihua
48,22/1/2020,441200,Zhaoqing
49,22/1/2020,442000,Zhongshan
50,22/1/2020,450200,Liuzhou
51,22/1/2020,450500,Beihai
52,22/1/2020,460100,Haikou
53,22/1/2020,460200,Sanya
54,22/1/2020,469006,Wanningshi
55,22/1/2020,469024,Lingao County
56,22/1/2020,510700,Mianyang
57,22/1/2020,520100,Guiyang
58,22/1/2020,520600,Tongren
59,22/1/2020,522700,Qiannanbuyizumiaozuzizhizhou
60,23/1/2020,130900,Cangzhou
61,23/1/2020,150700,Hulunbuir
62,23/1/2020,210100,Shenyang
63,23/1/2020,210200,Dalian
64,23/1/2020,211300,Chaoyang
65,23/1/2020,220200,Jilin
66,23/1/2020,220700,Songyuan
67,23/1/2020,230100,Harbin
68,23/1/2020,230600,Daqing
69,23/1/2020,231200,Suihua
70,23/1/2020,320100,Nanjing
71,23/1/2020,320200,Wuxi
72,23/1/2020,320600,Nantong
73,23/1/2020,320700,Lianyungang
74,23/1/2020,321000,Yangzhou
75,23/1/2020,330400,Jiaxing
76,23/1/2020,340300,Bengbu
77,23/1/2020,340800,Anqing
78,23/1/2020,341700,Chizhou
79,23/1/2020,350100,Fuzhoushi
80,23/1/2020,350200,Xiamen
81,23/1/2020,350500,Quanzhou
82,23/1/2020,350900,Ningde
83,23/1/2020,360400,Jiujiang
84,23/1/2020,360500,Xinyu
85,23/1/2020,360800,Ji'an
86,23/1/2020,370700,Weifang
87,23/1/2020,371100,Rizhao
88,23/1/2020,411500,Xinyang
89,23/1/2020,411600,Zhoukou
90,23/1/2020,420300,Shiyan
91,23/1/2020,420500,Yichang
92,23/1/2020,420900,Xiaogan
93,23/1/2020,429004,Xiantao
94,23/1/2020,430200,Zhuzhou
95,23/1/2020,430300,Xiangtan
96,23/1/2020,430600,Yueyang
97,23/1/2020,431000,Chenzhou
98,23/1/2020,431300,Loudi
99,23/1/2020,441700,Yangjiang
100,23/1/2020,441800,Qingyuan
101,23/1/2020,450300,Guilin
102,23/1/2020,450400,Wuzhou
103,23/1/2020,451000,Baise
104,23/1/2020,451200,Hechi
105,23/1/2020,510600,Deyang
106,23/1/2020,510900,Suining
107,23/1/2020,511700,Dazhou
108,23/1/2020,511800,Ya'an
109,23/1/2020,610100,Xi'an
